crop,disease,severity,treatment_cost_usd,temperature,humidity,rainfall_last_week_mm,leaf_color_r,leaf_color_g,leaf_color_b,leaf_texture_variance,spot_density,affected_area_pct,detection_confidence,image_id,detected_date
Potato,Fusarium_Wilt,5,280,22.95,73.74,6.75,96,40,97,0.643,0.738,67.85,0.925,img_00049.jpg,2025-10-10
Tomato,Anthracnose,3,160,24.31,83.81,61.52,76,60,59,0.106,0.105,18.44,0.779,img_00050.jpg,2025-08-18
Rice,Rust,4,200,21.55,77.96,17.56,168,76,33,0.845,0.364,48.84,0.846,img_00051.jpg,2025-07-09
Wheat,Powdery_Mildew,2,100,14.88,66.77,2.55,148,129,48,0.861,0.165,45.24,0.879,img_00052.jpg,2025-04-24
Potato,Mosaic_Virus,5,250,32.29,71.47,1.85,168,88,31,0.688,0.246,66.96,0.841,img_00053.jpg,2025-07-25
Wheat,Anthracnose,3,160,17.87,78.45,27.82,124,78,78,0.536,0.453,64.7,0.981,img_00054.jpg,2025-03-29
Apple,Healthy,0,0,16.56,85.59,61.3,87,107,29,0.432,0.0,0.0,0.804,img_00055.jpg,2025-10-29
Grape,Powdery_Mildew,2,100,32.24,88.74,17.06,195,111,68,0.683,0.55,40.71,0.896,img_00056.jpg,2025-06-12
Rice,Healthy,0,0,28.91,86.56,28.91,179,178,24,0.807,0.0,0.0,0.857,img_00057.jpg,2025-06-03
Grape,Downy_Mildew,2,120,28.89,71.81,54.57,148,147,81,0.707,0.427,75.47,0.781,img_00058.jpg,2025-04-05
Grape,Downy_Mildew,2,120,30.45,87.72,15.89,114,122,46,0.857,0.365,41.75,0.861,img_00059.jpg,2025-09-03
Corn,Root_Rot,4,220,25.32,82.53,31.52,161,46,81,0.451,0.487,6.86,0.859,img_00060.jpg,2025-04-22
Apple,Powdery_Mildew,2,100,19.65,70.62,19.53,99,42,83,0.333,0.781,49.06,0.941,img_00061.jpg,2025-03-17
Corn,Downy_Mildew,2,120,35.4,64.88,28.94,116,123,65,0.431,0.15,36.36,0.906,img_00062.jpg,2025-11-30
Corn,Downy_Mildew,2,120,25.61,78.0,11.27,170,98,77,0.789,0.796,20.81,0.867,img_00063.jpg,2025-05-21
Potato,Healthy,0,0,22.54,82.13,6.68,194,83,65,0.268,0.0,0.0,0.949,img_00064.jpg,2025-05-26
Corn,Rust,4,200,22.23,69.09,42.42,199,104,76,0.117,0.67,69.21,0.955,img_00065.jpg,2025-10-17
Wheat,Mosaic_Virus,5,250,21.0,75.4,15.72,61,73,99,0.445,0.58,25.58,0.916,img_00066.jpg,2026-01-29
Apple,Root_Rot,4,220,32.13,73.15,21.38,186,122,57,0.459,0.324,70.99,0.79,img_00067.jpg,2025-07-16
Rice,Downy_Mildew,2,120,30.27,70.4,13.67,152,70,56,0.586,0.573,17.06,0.864,img_00068.jpg,2025-03-08
Pepper,Root_Rot,4,220,27.24,79.09,45.69,67,46,98,0.492,0.755,28.39,0.711,img_00069.jpg,2025-07-25
Tomato,Anthracnose,3,160,33.44,78.29,3.75,157,104,72,0.786,0.684,46.06,0.884,img_00070.jpg,2025-04-13
Rice,Root_Rot,4,220,38.16,90.98,24.71,62,137,42,0.588,0.636,62.14,0.734,img_00071.jpg,2025-09-07
Wheat,Downy_Mildew,2,120,26.08,66.99,0.08,188,63,44,0.414,0.558,23.64,0.919,img_00072.jpg,2025-06-19
Rice,Bacterial_Spot,3,180,24.27,77.19,43.0,73,115,99,0.658,0.696,44.98,0.987,img_00073.jpg,2025-05-01
Pepper,Mosaic_Virus,5,250,22.51,67.85,5.59,137,52,50,0.182,0.113,17.71,0.921,img_00074.jpg,2025-09-01
Potato,Powdery_Mildew,2,100,27.5,77.57,49.02,116,80,65,0.524,0.198,67.77,0.788,img_00075.jpg,2025-10-24
Wheat,Mosaic_Virus,5,250,30.8,65.31,2.93,102,118,27,0.334,0.568,59.63,0.867,img_00076.jpg,2026-01-09
Apple,Anthracnose,3,160,18.27,79.07,7.42,152,53,65,0.641,0.554,74.61,0.81,img_00077.jpg,2025-08-27
Corn,Mosaic_Virus,5,250,12.97,87.23,21.58,177,136,37,0.235,0.591,9.22,0.87,img_00078.jpg,2025-06-07
Pepper,Fusarium_Wilt,5,280,11.01,71.05,0.26,103,138,52,0.176,0.769,43.32,0.809,img_00079.jpg,2025-10-02
Pepper,Downy_Mildew,2,120,12.06,86.28,13.5,113,119,89,0.754,0.332,20.02,0.756,img_00080.jpg,2025-10-01
Potato,Leaf_Blight,3,150,25.79,79.98,43.72,130,112,91,0.64,0.169,76.71,0.727,img_00081.jpg,2025-02-23
Grape,Bacterial_Spot,3,180,27.0,77.8,16.04,183,69,35,0.74,0.296,76.64,0.918,img_00082.jpg,2025-03-06
Grape,Powdery_Mildew,2,100,40.51,89.95,6.09,140,69,63,0.237,0.203,28.86,0.961,img_00083.jpg,2025-07-07
Potato,Mosaic_Virus,5,250,35.71,72.0,22.74,94,85,43,0.221,0.527,53.98,0.95,img_00084.jpg,2025-03-23
Pepper,Leaf_Blight,3,150,15.14,69.05,4.55,142,130,68,0.546,0.36,60.13,0.799,img_00085.jpg,2025-07-17
Apple,Bacterial_Spot,3,180,18.34,70.82,44.05,182,106,92,0.414,0.182,17.09,0.89,img_00086.jpg,2025-10-28
Grape,Bacterial_Spot,3,180,21.17,71.4,18.96,160,125,89,0.717,0.2,55.61,0.8,img_00087.jpg,2025-08-21
Potato,Mosaic_Virus,5,250,33.82,61.34,45.1,141,116,76,0.736,0.147,29.53,0.884,img_00088.jpg,2025-08-20
Rice,Root_Rot,4,220,26.94,72.28,36.0,119,97,71,0.553,0.483,17.61,0.946,img_00089.jpg,2025-12-24
Grape,Fusarium_Wilt,5,280,22.58,79.21,18.76,126,133,86,0.79,0.2,72.25,0.947,img_00090.jpg,2025-07-09
Grape,Downy_Mildew,2,120,28.0,67.26,9.64,98,88,26,0.199,0.297,69.64,0.805,img_00091.jpg,2025-10-21
Tomato,Healthy,0,0,34.39,63.48,56.92,87,197,53,0.368,0.0,0.0,0.748,img_00092.jpg,2025-05-06
Apple,Rust,4,200,22.9,60.58,125.98,135,99,53,0.37,0.648,54.07,0.72,img_00093.jpg,2025-06-06
Tomato,Powdery_Mildew,2,100,8.95,92.47,19.35,174,128,51,0.636,0.726,20.05,0.933,img_00094.jpg,2025-12-25
Wheat,Root_Rot,4,220,29.41,78.24,0.93,186,50,36,0.543,0.203,18.82,0.904,img_00095.jpg,2026-01-31
Apple,Leaf_Blight,3,150,29.43,82.95,7.24,91,115,53,0.335,0.737,50.78,0.762,img_00096.jpg,2025-05-01
Corn,Anthracnose,3,160,26.11,91.45,9.57,126,122,75,0.206,0.618,21.51,0.875,img_00097.jpg,2025-11-23
Corn,Bacterial_Spot,3,180,27.09,71.01,31.11,180,67,46,0.163,0.752,24.43,0.91,img_00098.jpg,2025-12-17
Rice,Downy_Mildew,2,120,33.22,92.66,19.3,140,91,93,0.312,0.548,55.15,0.9,img_00099.jpg,2025-05-18
Rice,Rust,4,200,22.88,63.63,0.9,66,106,98,0.178,0.452,39.62,0.732,img_00100.jpg,2025-03-17
Corn,Fusarium_Wilt,5,280,27.01,80.81,33.98,54,46,94,0.865,0.382,36.24,0.737,img_00101.jpg,2025-06-19
Grape,Root_Rot,4,220,28.2,68.27,11.28,182,104,54,0.628,0.5,62.46,0.911,img_00102.jpg,2025-05-12
Rice,Healthy,0,0,25.22,78.97,63.66,62,119,36,0.368,0.0,0.0,0.964,img_00103.jpg,2025-07-11
Potato,Healthy,0,0,25.01,93.74,18.4,164,201,44,0.444,0.0,0.0,0.872,img_00104.jpg,2025-04-01
Tomato,Downy_Mildew,2,120,37.51,76.92,21.71,165,110,47,0.73,0.208,57.6,0.711,img_00105.jpg,2025-10-02
Wheat,Healthy,0,0,28.48,66.58,13.7,132,138,56,0.849,0.0,0.0,0.813,img_00106.jpg,2025-11-11
Tomato,Bacterial_Spot,3,180,44.05,60.14,1.02,136,132,58,0.141,0.351,55.2,0.752,img_00107.jpg,2026-01-14
Wheat,Mosaic_Virus,5,250,34.96,62.86,36.77,115,89,99,0.254,0.418,30.06,0.76,img_00108.jpg,2025-07-10
Apple,Rust,4,200,28.0,90.7,6.3,162,78,20,0.588,0.427,63.5,0.8,img_00109.jpg,2025-05-26
Grape,Root_Rot,4,220,16.43,80.31,6.69,199,132,61,0.275,0.472,6.8,0.915,img_00110.jpg,2025-06-16
Apple,Leaf_Blight,3,150,19.39,63.6,87.95,78,70,43,0.399,0.344,31.85,0.825,img_00111.jpg,2025-09-05
Rice,Bacterial_Spot,3,180,28.58,77.73,28.55,69,43,88,0.465,0.284,52.15,0.741,img_00112.jpg,2025-07-21
Apple,Healthy,0,0,34.76,92.07,6.12,54,145,29,0.46,0.0,0.0,0.814,img_00113.jpg,2025-10-17
Corn,Fusarium_Wilt,5,280,28.01,87.19,14.43,65,108,30,0.546,0.351,22.09,0.757,img_00114.jpg,2025-08-02
Grape,Healthy,0,0,33.49,75.01,72.13,61,214,62,0.666,0.0,0.0,0.76,img_00115.jpg,2025-06-16
Grape,Bacterial_Spot,3,180,32.79,75.74,42.09,64,72,65,0.751,0.64,78.19,0.73,img_00116.jpg,2025-04-01
Pepper,Powdery_Mildew,2,100,12.94,82.08,6.41,53,133,40,0.267,0.65,48.61,0.71,img_00117.jpg,2025-12-12
Apple,Healthy,0,0,16.64,88.38,68.34,168,171,48,0.196,0.0,0.0,0.929,img_00118.jpg,2025-11-06
Rice,Root_Rot,4,220,17.84,71.42,1.83,134,41,93,0.263,0.485,32.43,0.805,img_00119.jpg,2025-04-06
Potato,Fusarium_Wilt,5,280,14.38,86.44,77.81,73,141,38,0.459,0.621,44.9,0.951,img_00120.jpg,2025-12-27
Corn,Fusarium_Wilt,5,280,30.78,62.78,30.55,196,138,64,0.159,0.522,49.23,0.79,img_00121.jpg,2025-02-21
Apple,Downy_Mildew,2,120,30.58,71.51,25.94,65,52,57,0.844,0.147,8.46,0.93,img_00122.jpg,2025-07-25
Corn,Anthracnose,3,160,25.56,70.52,74.4,169,66,78,0.351,0.707,24.16,0.866,img_00123.jpg,2025-06-08
Tomato,Mosaic_Virus,5,250,19.6,66.52,77.85,117,96,34,0.522,0.331,16.32,0.958,img_00124.jpg,2025-11-24
Apple,Leaf_Blight,3,150,39.04,75.26,44.5,63,141,80,0.596,0.366,5.89,0.727,img_00125.jpg,2025-09-08
Wheat,Rust,4,200,30.37,93.03,26.65,187,77,43,0.403,0.336,51.91,0.961,img_00126.jpg,2026-02-09
Pepper,Anthracnose,3,160,20.4,60.67,42.99,132,101,20,0.545,0.756,75.39,0.799,img_00127.jpg,2025-08-29
Corn,Mosaic_Virus,5,250,36.47,72.22,16.24,100,129,35,0.263,0.476,54.53,0.89,img_00128.jpg,2026-01-05
Grape,Powdery_Mildew,2,100,23.29,69.31,36.53,179,134,56,0.662,0.369,47.27,0.973,img_00129.jpg,2025-11-18
Rice,Root_Rot,4,220,15.38,86.81,19.53,186,80,29,0.14,0.591,60.79,0.833,img_00130.jpg,2025-10-31
Apple,Fusarium_Wilt,5,280,24.56,69.39,41.57,149,64,79,0.648,0.159,8.26,0.865,img_00131.jpg,2025-07-31
Rice,Anthracnose,3,160,25.92,86.67,30.06,193,72,58,0.475,0.551,15.56,0.762,img_00132.jpg,2025-09-25
Tomato,Root_Rot,4,220,21.19,61.03,25.78,175,66,21,0.48,0.675,12.36,0.765,img_00133.jpg,2025-07-06
Tomato,Downy_Mildew,2,120,18.3,93.17,11.29,95,45,25,0.429,0.337,79.46,0.835,img_00134.jpg,2025-06-18
Potato,Mosaic_Virus,5,250,24.1,92.17,19.83,153,99,69,0.368,0.652,6.05,0.88,img_00135.jpg,2025-03-15
Potato,Fusarium_Wilt,5,280,29.97,86.8,15.47,68,119,54,0.131,0.158,5.4,0.763,img_00136.jpg,2025-04-15
Potato,Downy_Mildew,2,120,27.4,66.48,57.08,82,130,54,0.575,0.405,35.65,0.948,img_00137.jpg,2025-07-01
Apple,Anthracnose,3,160,27.68,94.42,37.54,78,77,96,0.591,0.102,39.91,0.923,img_00138.jpg,2025-08-14
Corn,Leaf_Blight,3,150,15.65,64.89,34.04,76,64,59,0.698,0.471,79.25,0.777,img_00139.jpg,2025-05-02
Rice,Bacterial_Spot,3,180,19.73,89.03,14.67,100,147,75,0.677,0.768,67.4,0.859,img_00140.jpg,2026-01-01
Corn,Bacterial_Spot,3,180,16.0,86.82,77.77,83,58,64,0.581,0.781,69.37,0.86,img_00141.jpg,2025-08-30
Potato,Rust,4,200,23.21,91.34,5.64,105,139,84,0.74,0.203,17.73,0.849,img_00142.jpg,2025-07-15
Corn,Bacterial_Spot,3,180,29.8,84.17,5.73,55,143,22,0.177,0.695,21.93,0.951,img_00143.jpg,2025-05-29
Apple,Rust,4,200,21.54,61.9,54.92,58,127,22,0.112,0.175,53.39,0.73,img_00144.jpg,2025-03-17
Pepper,Fusarium_Wilt,5,280,18.55,90.11,21.27,197,83,94,0.136,0.688,8.98,0.906,img_00145.jpg,2025-10-03
Pepper,Anthracnose,3,160,29.23,79.06,25.13,121,121,55,0.762,0.589,12.1,0.716,img_00146.jpg,2025-07-12
Grape,Mosaic_Virus,5,250,26.97,83.26,39.3,135,119,24,0.226,0.657,10.36,0.914,img_00147.jpg,2025-09-09
Tomato,Fusarium_Wilt,5,280,18.99,60.19,15.43,95,42,76,0.191,0.729,15.66,0.988,img_00148.jpg,2025-06-18
Apple,Healthy,0,0,6.39,63.53,14.43,119,170,31,0.843,0.0,0.0,0.893,img_00149.jpg,2025-09-06
Rice,Bacterial_Spot,3,180,14.47,91.18,144.05,113,133,68,0.127,0.349,6.01,0.862,img_00150.jpg,2025-03-24
Rice,Rust,4,200,14.19,88.39,50.61,195,123,54,0.107,0.707,34.65,0.927,img_00151.jpg,2025-10-29
Pepper,Root_Rot,4,220,20.5,80.71,20.33,55,40,24,0.877,0.748,79.57,0.848,img_00152.jpg,2025-03-20
Potato,Anthracnose,3,160,31.86,92.95,18.21,197,104,51,0.173,0.159,31.82,0.904,img_00153.jpg,2025-08-31
Corn,Root_Rot,4,220,7.43,69.56,37.74,116,43,73,0.178,0.125,40.99,0.957,img_00154.jpg,2025-12-09
Rice,Healthy,0,0,28.16,62.46,6.7,184,134,56,0.594,0.0,0.0,0.808,img_00155.jpg,2025-04-12
Pepper,Healthy,0,0,16.62,75.5,17.03,133,180,52,0.124,0.0,0.0,0.952,img_00156.jpg,2025-07-27
Rice,Rust,4,200,16.14,92.52,32.14,153,135,24,0.496,0.274,26.12,0.765,img_00157.jpg,2025-12-24
Wheat,Mosaic_Virus,5,250,19.6,73.47,28.0,55,112,43,0.726,0.227,61.36,0.703,img_00158.jpg,2025-08-19
Pepper,Fusarium_Wilt,5,280,25.56,75.1,57.18,62,46,52,0.618,0.462,40.69,0.944,img_00159.jpg,2025-06-26
Tomato,Leaf_Blight,3,150,26.4,93.73,24.82,99,104,64,0.742,0.359,44.02,0.733,img_00160.jpg,2025-03-17
Potato,Healthy,0,0,18.28,52.27,34.79,117,84,92,0.867,0.0,0.0,0.755,img_00161.jpg,2025-12-18
Rice,Mosaic_Virus,5,250,34.31,89.06,32.5,105,62,39,0.135,0.124,18.13,0.83,img_00162.jpg,2025-06-28
Wheat,Anthracnose,3,160,38.98,88.78,6.35,96,71,48,0.738,0.792,23.38,0.805,img_00163.jpg,2025-09-25
Rice,Fusarium_Wilt,5,280,25.32,70.15,2.45,80,145,38,0.545,0.527,12.5,0.978,img_00164.jpg,2025-10-19
Rice,Leaf_Blight,3,150,18.48,66.69,16.96,189,77,32,0.464,0.734,5.3,0.882,img_00165.jpg,2025-03-01
Pepper,Downy_Mildew,2,120,26.21,89.07,3.54,126,63,70,0.147,0.481,33.44,0.709,img_00166.jpg,2025-12-13
Apple,Powdery_Mildew,2,100,24.15,71.27,11.08,143,118,91,0.723,0.738,28.96,0.792,img_00167.jpg,2025-08-16
Apple,Anthracnose,3,160,17.96,77.45,2.29,164,82,44,0.125,0.419,34.61,0.727,img_00168.jpg,2025-07-29
Potato,Bacterial_Spot,3,180,8.93,64.81,49.67,178,64,75,0.416,0.36,45.26,0.786,img_00169.jpg,2025-10-28
Rice,Mosaic_Virus,5,250,17.23,66.05,7.71,187,81,64,0.173,0.608,22.49,0.781,img_00170.jpg,2025-03-25
Rice,Anthracnose,3,160,36.41,85.87,67.25,134,60,27,0.484,0.446,49.67,0.837,img_00171.jpg,2026-01-02
Apple,Root_Rot,4,220,31.58,67.69,62.8,116,43,28,0.485,0.387,5.69,0.889,img_00172.jpg,2025-03-24
Pepper,Mosaic_Virus,5,250,27.55,60.41,10.2,105,49,62,0.722,0.477,39.57,0.764,img_00173.jpg,2025-11-02
Apple,Fusarium_Wilt,5,280,24.55,94.62,1.84,94,126,92,0.831,0.487,35.34,0.866,img_00174.jpg,2025-12-04
Corn,Rust,4,200,18.43,89.33,94.76,175,104,62,0.499,0.329,44.15,0.831,img_00175.jpg,2025-05-21
Apple,Mosaic_Virus,5,250,9.89,67.3,22.92,172,86,87,0.862,0.564,39.02,0.715,img_00176.jpg,2025-08-25
Tomato,Downy_Mildew,2,120,26.48,83.88,26.73,199,141,91,0.878,0.528,27.22,0.833,img_00177.jpg,2025-03-11
Apple,Fusarium_Wilt,5,280,20.25,65.14,60.63,63,52,69,0.788,0.64,60.78,0.765,img_00178.jpg,2025-06-16
Rice,Fusarium_Wilt,5,280,40.26,73.52,8.49,68,52,42,0.541,0.125,65.26,0.97,img_00179.jpg,2025-06-15
Potato,Mosaic_Virus,5,250,8.8,82.56,10.78,94,120,76,0.461,0.219,74.54,0.905,img_00180.jpg,2025-03-22
Grape,Root_Rot,4,220,17.77,89.71,3.91,65,43,84,0.244,0.464,9.56,0.717,img_00181.jpg,2026-01-28
Rice,Powdery_Mildew,2,100,21.71,87.67,11.51,173,123,26,0.71,0.241,25.26,0.816,img_00182.jpg,2025-04-04
Wheat,Leaf_Blight,3,150,44.11,74.56,18.55,81,149,74,0.741,0.235,75.67,0.845,img_00183.jpg,2025-07-24
Wheat,Powdery_Mildew,2,100,18.83,64.58,14.55,157,129,95,0.205,0.217,77.23,0.974,img_00184.jpg,2025-11-02
Pepper,Bacterial_Spot,3,180,12.89,91.22,8.51,72,86,53,0.417,0.615,34.76,0.961,img_00185.jpg,2026-02-19
Tomato,Bacterial_Spot,3,180,27.15,70.73,31.4,98,86,46,0.815,0.201,68.02,0.901,img_00186.jpg,2025-06-26
Rice,Leaf_Blight,3,150,8.79,93.81,11.9,123,135,93,0.847,0.11,16.59,0.86,img_00187.jpg,2025-07-29
Pepper,Fusarium_Wilt,5,280,27.83,88.64,6.1,191,86,48,0.212,0.462,63.23,0.8,img_00188.jpg,2025-04-01
Rice,Leaf_Blight,3,150,22.51,82.54,30.61,79,134,54,0.335,0.589,54.19,0.945,img_00189.jpg,2025-06-12
Pepper,Fusarium_Wilt,5,280,14.28,92.14,26.77,181,145,54,0.558,0.331,14.96,0.818,img_00190.jpg,2025-03-01
Rice,Rust,4,200,26.37,70.64,4.65,51,98,67,0.491,0.421,51.49,0.897,img_00191.jpg,2025-12-18
Apple,Downy_Mildew,2,120,11.86,71.26,2.18,158,77,83,0.891,0.746,66.62,0.914,img_00192.jpg,2025-02-19
Apple,Mosaic_Virus,5,250,16.61,76.48,41.83,199,145,72,0.565,0.288,73.14,0.934,img_00193.jpg,2026-01-29
Wheat,Downy_Mildew,2,120,27.11,75.98,10.75,163,113,43,0.266,0.725,68.39,0.922,img_00194.jpg,2025-06-09
Apple,Bacterial_Spot,3,180,33.26,92.34,43.57,135,132,27,0.211,0.444,63.56,0.892,img_00195.jpg,2025-02-19
Tomato,Root_Rot,4,220,25.97,72.27,13.43,173,125,48,0.854,0.72,16.27,0.882,img_00196.jpg,2025-12-19
Tomato,Anthracnose,3,160,27.12,82.22,10.5,151,148,75,0.891,0.579,61.56,0.724,img_00197.jpg,2025-11-14
Grape,Fusarium_Wilt,5,280,28.05,81.89,26.15,86,69,35,0.808,0.227,9.67,0.869,img_00198.jpg,2025-12-30
Potato,Healthy,0,0,34.9,70.03,25.16,190,198,77,0.525,0.0,0.0,0.816,img_00199.jpg,2025-06-29
Tomato,Mosaic_Virus,5,250,39.09,69.1,47.76,193,76,26,0.118,0.453,11.61,0.725,img_00200.jpg,2025-03-19
Potato,Healthy,0,0,16.74,81.87,12.64,106,96,26,0.792,0.0,0.0,0.826,img_00201.jpg,2025-07-10
Grape,Healthy,0,0,13.43,62.12,25.96,122,188,40,0.476,0.0,0.0,0.982,img_00202.jpg,2025-06-29
Rice,Fusarium_Wilt,5,280,27.53,81.8,21.4,133,141,89,0.825,0.249,22.47,0.848,img_00203.jpg,2025-05-01
Pepper,Healthy,0,0,6.89,87.61,54.92,160,160,38,0.787,0.0,0.0,0.751,img_00204.jpg,2025-05-17
Corn,Root_Rot,4,220,17.25,92.31,34.52,174,91,60,0.492,0.511,37.05,0.979,img_00205.jpg,2025-05-25
Apple,Mosaic_Virus,5,250,30.25,60.99,26.61,108,131,38,0.195,0.437,68.96,0.861,img_00206.jpg,2025-03-08
