date,commodity,market,grade,price_per_quintal,volume_quintals,total_value,price_change_pct
2025-09-12,Soybean,Delhi,C,3551.3,68.52,243352.34,0.71
2025-12-06,Maize,Mumbai,A,1914.98,143.01,273866.92,4.06
2025-12-20,Maize,Bangalore,C,1578.3,1919.35,3029304.63,4.31
2025-12-29,Potato,Bangalore,A,1850.55,104.31,193022.91,-1.08
2025-11-07,Sugarcane,Bangalore,A,276.55,880.5,243502.08,0.58
2025-11-22,Maize,Mumbai,A,1600.6,707.76,1132838.27,4.29
2025-06-11,Maize,Mumbai,B,1967.99,400.43,788033.19,0.22
2025-10-10,Maize,Chennai,A,1821.92,644.15,1173587.44,2.25
2025-08-03,Wheat,Bangalore,A,1978.68,589.75,1166932.55,3.16
2025-05-11,Onion,Hyderabad,C,1837.6,808.97,1486552.14,4.73
2026-01-09,Cotton,Bangalore,C,5746.26,908.88,5222649.64,1.01
2025-03-25,Cotton,Bangalore,C,5504.49,413.56,2276459.74,4.47
2025-11-26,Maize,Mumbai,C,1493.19,493.98,737604.95,2.75
2025-11-13,Maize,Mumbai,C,1377.85,987.02,1359961.01,-1.45
2025-09-18,Potato,Kolkata,A,1327.4,1291.77,1714704.37,3.56
2025-04-17,Tomato,Delhi,A,2947.55,488.54,1439995.78,3.64
2025-06-04,Rice,Bangalore,B,4382.51,2921.15,12801967.12,-1.01
2025-11-11,Maize,Delhi,A,1822.84,2072.36,3777578.32,2.6
2025-03-27,Soybean,Kolkata,C,4676.69,435.44,2036397.99,3.4
2025-09-10,Maize,Delhi,B,1613.56,575.58,928738.84,-1.75
2025-08-27,Sugarcane,Chennai,B,321.72,97.52,31373.26,2.32
2025-07-06,Maize,Mumbai,B,2034.84,1982.65,4034373.74,-2.57
2026-02-05,Wheat,Chennai,C,2450.4,28.57,70018.32,0.34
2025-04-13,Tomato,Chennai,B,2651.67,707.63,1876408.2,-2.05
2025-11-27,Maize,Hyderabad,B,1377.79,324.15,446612.46,0.72
2025-04-11,Tomato,Mumbai,A,3693.45,965.1,3564548.63,2.63
2025-10-31,Tomato,Chennai,C,1603.52,366.36,587474.59,2.74
2025-08-17,Wheat,Bangalore,A,2322.38,454.91,1056469.45,2.4
2025-07-10,Cotton,Mumbai,A,6104.58,202.47,1236020.85,0.14
2026-01-25,Wheat,Kolkata,C,2214.54,1793.73,3972287.03,-4.06
2026-02-17,Onion,Mumbai,A,2809.48,372.99,1047911.74,-4.92
2025-03-29,Tomato,Kolkata,A,3382.8,559.52,1892749.85,-1.52
2025-07-12,Potato,Kolkata,B,1390.94,720.64,1002365.47,-0.61
2025-06-05,Sugarcane,Bangalore,C,296.83,18.88,5605.06,-4.43
2025-07-08,Tomato,Delhi,C,1992.84,827.06,1648209.86,4.1
2025-09-10,Tomato,Mumbai,A,2118.15,700.96,1484745.47,4.92
2025-10-23,Sugarcane,Mumbai,C,283.26,485.56,137538.92,-4.05
2025-11-03,Tomato,Bangalore,A,2530.12,51.74,130915.8,-2.77
2025-11-17,Soybean,Bangalore,C,3485.16,53.64,186927.74,-0.66
2025-04-22,Cotton,Hyderabad,A,7461.87,136.76,1020477.37,-0.24
2025-09-05,Potato,Bangalore,C,996.13,37.94,37792.39,2.7
2025-09-24,Tomato,Kolkata,A,2152.17,75.69,162897.86,3.8
2025-04-12,Maize,Kolkata,C,2172.19,87.48,190033.37,-4.59
2025-05-27,Rice,Mumbai,C,3939.65,519.02,2044761.37,3.9
2025-03-10,Wheat,Kolkata,C,2049.7,47.36,97080.08,3.78
2025-04-02,Potato,Mumbai,B,1937.12,306.24,593233.23,2.76
2025-05-19,Wheat,Bangalore,C,2356.45,709.81,1672621.89,-4.86
2025-08-23,Maize,Mumbai,B,1471.34,1251.99,1842101.69,1.77
2025-03-20,Maize,Kolkata,B,1858.49,2796.61,5197465.9,4.93
2025-07-16,Rice,Kolkata,C,2959.68,1112.86,3293723.91,-0.82
2025-10-17,Tomato,Mumbai,A,2074.26,1873.2,3885496.06,2.83
2026-01-10,Tomato,Hyderabad,C,2320.64,292.74,679335.46,-4.16
2026-02-08,Rice,Delhi,B,4328.13,142.69,617560.61,-3.87
2025-09-08,Sugarcane,Chennai,C,272.81,412.09,112422.72,1.78
2025-08-03,Tomato,Kolkata,B,1991.29,65.27,129969.73,-3.36
2025-06-19,Soybean,Chennai,A,5260.97,150.35,790985.57,1.05
2026-01-28,Potato,Kolkata,C,1477.83,251.9,372259.57,-4.72
2025-09-17,Cotton,Chennai,C,4762.45,34.46,164128.62,1.52
2025-04-16,Onion,Bangalore,A,2516.91,650.82,1638045.47,-2.25
2025-02-21,Tomato,Delhi,C,2487.89,1973.62,4910146.56,-1.12
2025-07-30,Tomato,Hyderabad,B,2340.74,1497.96,3506343.59,2.09
2025-05-30,Onion,Delhi,A,2349.37,246.65,579480.08,-0.73
2026-02-10,Maize,Chennai,C,1785.13,217.28,387864.4,0.62
2025-12-12,Soybean,Hyderabad,C,4130.61,442.87,1829336.92,-2.51
2026-02-19,Wheat,Bangalore,A,2956.44,361.85,1069778.39,1.2
2025-10-28,Cotton,Delhi,C,4712.4,310.57,1463548.15,-1.0
2025-06-19,Rice,Chennai,C,3645.8,987.12,3598858.88,2.1
2025-09-12,Wheat,Mumbai,C,1523.71,639.75,974788.77,-0.67
2025-04-05,Soybean,Delhi,A,6287.09,117.73,740162.26,-4.94
2025-06-04,Wheat,Mumbai,B,2130.15,459.21,978186.27,-0.72
2025-10-05,Soybean,Delhi,A,3787.64,1080.53,4092653.62,-3.26
2025-07-09,Soybean,Delhi,A,5356.38,343.68,1840873.15,4.75
2025-02-20,Sugarcane,Hyderabad,A,419.1,856.0,358746.65,0.17
2025-10-04,Onion,Bangalore,C,1328.72,978.03,1299530.93,0.58
2025-05-16,Rice,Bangalore,C,3927.5,490.59,1926812.22,-4.29
2025-06-09,Sugarcane,Bangalore,C,349.54,8.16,2851.78,2.42
2025-06-28,Soybean,Mumbai,C,3833.61,299.67,1148799.99,-3.69
2025-11-21,Maize,Kolkata,C,1256.85,590.64,742344.06,-4.15
2026-01-31,Maize,Bangalore,A,2175.07,499.72,1086917.25,-1.0
2025-02-26,Onion,Kolkata,A,2573.34,1217.86,3133963.37,2.4
2025-04-30,Rice,Hyderabad,A,4881.64,961.39,4693167.03,-1.17
2025-07-20,Maize,Delhi,B,1540.27,40.87,62952.1,2.49
2025-07-15,Tomato,Bangalore,B,2216.21,294.97,653718.01,-2.61
2025-11-11,Wheat,Mumbai,C,1725.04,119.47,206083.27,1.4
2026-01-18,Potato,Bangalore,A,1867.96,54.87,102501.9,4.07
2025-05-03,Cotton,Bangalore,B,7791.38,1604.46,12500928.94,-3.23
2025-06-19,Wheat,Kolkata,C,2338.6,2449.64,5728736.67,-1.11
2025-08-09,Onion,Hyderabad,B,1541.11,1125.36,1734310.3,-3.21
2025-10-11,Cotton,Chennai,C,4183.34,351.92,1472215.23,0.06
2026-01-18,Rice,Bangalore,B,3867.52,129.67,501484.39,-1.69
2026-01-09,Wheat,Delhi,B,2166.39,165.26,358023.73,4.93
2025-10-08,Maize,Kolkata,A,1758.27,936.83,1647200.93,-1.16
2025-09-07,Sugarcane,Kolkata,A,319.13,33.71,10759.38,-3.16
2026-02-12,Rice,Bangalore,C,4091.87,275.47,1127207.13,-0.18
2026-01-27,Onion,Kolkata,A,2438.72,1103.37,2690797.05,3.91
2025-08-31,Onion,Chennai,A,1961.25,421.0,825690.43,0.45
2025-10-28,Wheat,Mumbai,A,2022.17,828.65,1675673.6,4.93
2025-03-28,Tomato,Mumbai,B,2714.07,1054.88,2863010.36,2.21
2025-03-03,Sugarcane,Mumbai,A,435.98,159.9,69711.24,-3.96
2025-03-05,Sugarcane,Mumbai,B,370.22,419.82,155425.88,-3.91
2025-03-15,Maize,Mumbai,A,2482.26,404.17,1003252.67,0.15
2025-12-20,Cotton,Mumbai,B,5476.99,481.24,2635744.27,-3.98
2026-01-16,Potato,Kolkata,A,1844.99,1129.47,2083869.15,1.8
2025-05-18,Maize,Kolkata,B,2245.86,115.79,260037.97,-1.36
2025-07-10,Sugarcane,Bangalore,B,377.53,156.86,59217.22,1.07
2025-12-14,Tomato,Kolkata,B,2414.87,376.03,908072.15,2.11
2025-12-25,Onion,Hyderabad,B,2064.59,333.03,687571.81,2.13
2025-07-26,Wheat,Chennai,A,2277.84,1199.36,2731956.17,1.96
2025-02-25,Cotton,Kolkata,C,6339.43,198.53,1258584.03,0.86
2025-09-03,Tomato,Chennai,A,2560.8,1913.16,4899222.97,-2.49
2025-04-11,Potato,Bangalore,A,1792.0,672.57,1205241.22,3.84
2025-10-10,Onion,Kolkata,C,1622.86,367.52,596427.9,-0.54
2025-04-21,Onion,Kolkata,A,2695.31,286.48,772139.88,1.34
2025-07-16,Cotton,Kolkata,A,6308.18,289.49,1826159.55,-3.63
2025-04-11,Maize,Bangalore,A,2546.49,305.0,776690.44,0.23
2025-06-10,Tomato,Mumbai,B,2299.68,824.81,1896789.26,-2.23
2026-02-10,Sugarcane,Mumbai,C,373.16,194.53,72589.92,1.83
2026-02-18,Onion,Delhi,A,2891.32,1290.47,3731153.59,-1.44
2026-02-13,Wheat,Delhi,B,2142.2,128.69,275671.58,-1.94
2025-02-25,Tomato,Bangalore,A,2910.17,1086.95,3163214.07,-1.91
2025-12-22,Onion,Mumbai,C,1679.21,152.44,255972.82,0.19
2025-07-25,Soybean,Kolkata,C,3829.49,1095.18,4193983.41,1.95
2025-10-14,Rice,Bangalore,C,2516.63,203.88,513081.78,-5.0
2025-06-16,Wheat,Mumbai,A,2621.72,65.97,172956.84,1.7
2025-11-16,Sugarcane,Delhi,C,302.95,263.57,79849.8,-1.92
2025-06-01,Rice,Bangalore,A,4268.3,166.97,712667.54,-3.89
2025-10-24,Maize,Mumbai,B,1593.97,152.3,242754.35,-4.13
2025-10-10,Cotton,Chennai,B,4393.68,203.15,892591.5,2.47
2025-03-19,Sugarcane,Hyderabad,B,476.21,169.52,80725.79,2.75
2025-09-28,Tomato,Mumbai,B,1788.3,1907.89,3411872.49,-3.04
2025-05-30,Tomato,Hyderabad,C,2607.13,2.46,6418.18,3.07
2025-11-22,Cotton,Chennai,B,5645.76,166.98,942703.74,-4.2
2025-03-10,Tomato,Delhi,B,2907.63,23.86,69372.0,-4.5
2025-09-13,Wheat,Kolkata,B,1957.8,388.95,761494.37,-4.03
2025-05-10,Potato,Kolkata,C,1770.83,477.37,845337.46,3.25
2025-04-30,Cotton,Mumbai,A,8116.35,942.2,7647252.86,-2.37
2025-03-08,Potato,Delhi,A,1839.79,288.19,530213.76,0.74
2025-06-23,Potato,Bangalore,C,1250.31,516.11,645293.91,4.54
2025-11-27,Soybean,Kolkata,B,4449.07,158.47,705044.38,-0.21
2026-01-07,Onion,Mumbai,B,2078.73,499.85,1039059.84,1.93
2025-04-16,Soybean,Delhi,C,5192.63,842.0,4372205.4,-4.05
2025-06-12,Onion,Kolkata,C,2122.73,156.94,333151.56,-1.74
2026-02-05,Rice,Mumbai,C,3246.51,327.62,1063616.78,-2.38
2026-01-11,Maize,Delhi,A,2151.19,210.31,452410.0,2.07
2025-07-27,Soybean,Chennai,C,4051.34,340.89,1381057.12,1.77
2025-05-11,Rice,Chennai,B,4546.37,1016.69,4622226.51,-1.24
2025-06-20,Rice,Delhi,A,4372.32,363.47,1589225.86,-2.21
2025-08-04,Maize,Mumbai,C,1393.24,429.89,598938.02,1.19
2025-09-06,Rice,Bangalore,A,3521.04,37.38,131631.78,-1.53
2025-11-13,Sugarcane,Kolkata,A,302.27,53.93,16301.56,-3.31
2025-06-05,Cotton,Chennai,A,6823.25,474.6,3238281.85,2.32
2025-06-15,Maize,Bangalore,A,2089.01,46.91,98000.58,2.72
2025-06-08,Cotton,Delhi,C,5853.22,740.62,4334992.99,-2.47
2025-12-31,Maize,Chennai,C,1509.37,116.98,176572.38,-3.0
2025-12-14,Wheat,Delhi,B,2066.87,386.99,799859.85,-3.41
2025-10-17,Maize,Delhi,C,1502.93,329.19,494751.32,-1.47
2026-01-15,Onion,Mumbai,C,2090.59,841.75,1759753.15,-2.66
2025-03-24,Rice,Mumbai,B,4624.4,166.63,770548.99,-4.32
2025-06-18,Potato,Hyderabad,B,1349.52,367.72,496241.45,-1.6
2025-07-14,Tomato,Bangalore,A,2841.05,383.73,1090185.31,2.79
2026-02-06,Soybean,Delhi,B,5317.71,2123.46,11291947.89,-0.18
2025-11-25,Cotton,Delhi,C,4541.57,100.61,456909.74,1.58
2025-04-13,Soybean,Kolkata,B,5444.88,614.94,3348281.49,2.83
2026-01-09,Soybean,Kolkata,B,4849.83,853.07,4137228.04,-2.88
2025-03-07,Onion,Chennai,C,2382.2,136.67,325571.11,-1.68
2025-12-24,Cotton,Hyderabad,C,4678.18,97.22,454828.2,2.05
2025-12-29,Potato,Kolkata,C,1198.67,2191.02,2626311.9,4.43
2025-04-11,Rice,Bangalore,B,3647.65,778.82,2840865.94,-1.22
2025-09-05,Rice,Bangalore,A,3445.12,34.3,118159.7,1.24
2026-02-18,Onion,Hyderabad,B,2448.52,937.7,2295976.51,3.89
2025-04-07,Potato,Chennai,A,1688.2,687.58,1160768.55,-3.54
2025-06-02,Sugarcane,Delhi,C,349.25,232.0,81027.58,-2.76
2025-10-08,Wheat,Chennai,B,1659.25,151.13,250768.0,-2.73
2025-05-19,Cotton,Hyderabad,B,7126.16,212.2,1512147.95,3.94
2025-04-01,Soybean,Hyderabad,B,5465.24,365.2,1995894.21,4.24
2026-01-23,Rice,Delhi,B,4197.3,14.49,60802.31,1.09
2025-08-17,Maize,Bangalore,B,1591.16,1290.73,2053764.92,2.13
2025-02-22,Tomato,Mumbai,A,3134.88,27.76,87027.42,-4.14
2025-08-30,Tomato,Hyderabad,C,1846.6,2052.91,3790903.76,4.91
2025-02-23,Sugarcane,Delhi,A,443.68,1077.11,477892.8,-2.87
2025-11-22,Sugarcane,Bangalore,A,318.23,240.55,76550.74,1.99
2025-12-21,Maize,Mumbai,B,1907.46,248.83,474638.53,-0.34
2025-11-25,Sugarcane,Chennai,B,269.85,163.12,44018.64,3.05
2025-03-10,Sugarcane,Chennai,C,322.07,703.72,226650.25,0.07
2026-02-13,Soybean,Hyderabad,A,5242.76,315.35,1653318.65,-0.49
2025-07-03,Sugarcane,Bangalore,A,437.67,607.56,265911.28,-0.87
2025-09-03,Cotton,Kolkata,B,5577.04,1258.66,7019574.62,0.11
2025-07-09,Maize,Mumbai,C,1785.94,476.65,851268.11,2.28
2025-08-11,Tomato,Hyderabad,B,2156.97,489.49,1055807.53,-1.07
2025-05-29,Soybean,Bangalore,A,4923.09,219.67,1081468.26,-1.07
2025-07-07,Sugarcane,Delhi,B,371.69,256.76,95433.99,-0.27
2025-11-08,Onion,Delhi,B,1815.11,383.4,695917.08,-1.56
2025-07-16,Maize,Kolkata,B,1458.19,686.08,1000431.0,4.21
2025-04-07,Cotton,Delhi,C,5514.08,549.69,3031036.56,0.13
2025-03-01,Wheat,Kolkata,A,3116.28,91.54,285261.76,-1.47
2025-06-26,Maize,Mumbai,C,1449.6,158.22,229351.87,-0.2
2025-12-24,Tomato,Kolkata,B,2746.05,116.85,320889.84,1.9
2025-05-23,Wheat,Mumbai,B,2630.67,64.0,168357.06,4.75
2026-01-15,Cotton,Hyderabad,C,5115.78,29.04,148565.41,4.68
2025-08-21,Cotton,Chennai,A,5384.05,169.39,912008.66,-2.08
2025-03-09,Maize,Bangalore,A,2003.23,556.89,1115571.23,2.61
2025-04-12,Sugarcane,Kolkata,B,411.82,120.61,49669.38,-0.49
2026-02-10,Sugarcane,Hyderabad,C,403.04,88.04,35483.96,-4.33
2025-09-29,Onion,Chennai,A,1684.85,1183.95,1994776.03,-1.29
2025-03-29,Cotton,Bangalore,A,8448.52,19.22,162417.21,-1.61
2025-12-17,Onion,Mumbai,B,1953.48,364.47,711993.14,0.53
2025-02-19,Potato,Delhi,C,1518.92,476.64,723970.39,3.26
2025-12-13,Maize,Bangalore,A,1625.56,245.8,399567.45,2.21
2025-08-21,Rice,Delhi,C,2901.64,487.91,1415744.67,-1.07
2025-06-15,Cotton,Bangalore,C,5299.57,339.83,1800935.3,-1.55
2025-07-27,Soybean,Kolkata,C,3900.28,625.93,2441297.42,0.3
2025-10-18,Onion,Hyderabad,A,1943.26,65.63,127543.44,3.86
2025-08-24,Onion,Chennai,B,1493.1,575.71,859597.29,-0.99
2026-02-02,Tomato,Delhi,C,2452.05,1293.41,3171503.0,0.32
2025-10-08,Soybean,Chennai,C,2911.89,616.42,1794957.2,3.79
2025-02-27,Rice,Kolkata,B,4609.76,257.28,1185990.14,3.13
2025-04-15,Soybean,Delhi,B,5745.49,1142.14,6562170.39,2.42
2025-11-29,Potato,Delhi,A,1631.17,269.4,439439.84,-0.15
2025-05-18,Cotton,Chennai,B,6231.3,521.16,3247506.47,-3.84
2025-11-09,Rice,Chennai,B,2756.69,631.16,1739903.52,4.05
2025-03-07,Potato,Delhi,A,2125.13,425.49,904227.7,4.32
2025-07-19,Sugarcane,Delhi,C,308.44,120.89,37287.3,-0.68
2025-05-21,Tomato,Chennai,B,3139.23,1294.35,4063252.97,4.12
2025-06-06,Sugarcane,Mumbai,B,327.57,516.9,169319.21,-0.02
2025-04-23,Tomato,Bangalore,C,2624.3,39.3,103130.9,-1.18
2026-01-09,Potato,Hyderabad,B,1530.24,180.05,275523.53,2.79
2025-06-01,Wheat,Bangalore,B,2206.65,234.34,517104.65,0.15
2025-09-04,Rice,Delhi,C,2613.43,82.63,215945.06,-4.31
2025-05-14,Onion,Bangalore,B,2556.81,66.14,169100.24,1.46
2025-09-26,Cotton,Hyderabad,B,5117.15,779.46,3988600.85,-4.07
2025-11-12,Maize,Delhi,B,1438.58,109.63,157715.25,-4.52
2025-03-29,Tomato,Bangalore,B,3111.06,81.56,253723.21,-3.11
2025-09-22,Sugarcane,Kolkata,B,275.02,62.68,17238.39,1.3
2025-06-20,Tomato,Delhi,B,2816.62,466.5,1313956.34,-0.77
2026-01-30,Onion,Hyderabad,B,2415.53,836.56,2020734.41,4.1
2025-08-30,Onion,Hyderabad,C,1673.9,828.5,1386815.66,0.65
2025-03-14,Soybean,Chennai,C,4120.11,647.0,2665704.4,-0.17
2025-08-12,Potato,Chennai,C,1027.27,653.86,671688.26,-0.9
2025-10-24,Maize,Kolkata,C,1266.19,824.98,1044579.85,-2.08
2025-08-17,Cotton,Delhi,A,5261.65,135.21,711441.93,-2.47
2025-09-08,Potato,Chennai,A,1370.48,835.27,1144717.27,4.6
2025-06-22,Tomato,Delhi,A,2420.77,126.83,307027.91,-0.34
2025-03-28,Sugarcane,Kolkata,A,529.51,997.78,528334.06,-1.83
2025-08-04,Potato,Bangalore,C,1145.4,13.75,15751.05,2.28
2025-05-20,Rice,Bangalore,A,4716.54,133.51,629724.47,3.25
2025-08-15,Maize,Kolkata,C,1400.88,313.73,439502.62,-0.82
2025-12-05,Wheat,Delhi,C,1859.79,408.69,760081.88,2.24
2025-09-06,Cotton,Kolkata,A,5359.92,134.57,721272.02,-3.57
2025-12-29,Potato,Hyderabad,B,1354.24,211.2,286017.12,4.39
2025-02-19,Potato,Delhi,B,1829.54,273.87,501061.79,-3.43
2025-03-05,Potato,Hyderabad,B,1891.4,276.78,523504.18,2.7
2025-05-07,Soybean,Mumbai,A,6311.66,441.44,2786189.21,3.14
2025-06-16,Sugarcane,Chennai,C,339.51,352.63,119719.2,2.67
2025-05-20,Soybean,Bangalore,C,4476.21,484.85,2170301.85,-1.16
2025-11-08,Soybean,Mumbai,C,3856.38,612.94,2363715.6,3.71
2026-01-05,Cotton,Bangalore,A,6767.42,1088.76,7368072.34,0.52
2025-03-23,Maize,Chennai,B,2320.23,684.32,1587784.56,-4.12
2025-06-03,Sugarcane,Bangalore,C,331.03,2292.44,758860.36,-2.86
2025-11-27,Onion,Hyderabad,A,1873.61,1902.93,3565352.92,-1.69
2026-02-15,Potato,Kolkata,B,1880.28,284.87,535634.62,4.34
2025-09-08,Soybean,Chennai,B,3777.29,1784.56,6740803.16,-3.89
2025-04-13,Tomato,Hyderabad,A,3062.59,455.92,1396298.89,-3.87
2026-02-02,Wheat,Delhi,A,2874.61,1345.62,3868134.4,1.38
2025-05-21,Rice,Delhi,A,4616.82,85.32,393895.17,1.39
2026-02-09,Soybean,Mumbai,C,4475.38,701.45,3139259.06,-1.94
2025-07-20,Potato,Kolkata,A,1623.04,40.2,65249.64,-1.89
2025-06-26,Onion,Delhi,C,1888.68,423.38,799632.34,0.83
2025-06-03,Potato,Chennai,B,1624.41,464.29,754192.71,-2.19
2025-03-01,Rice,Kolkata,A,4439.1,86.03,381879.83,-1.45
2025-06-11,Tomato,Kolkata,B,2800.55,416.85,1167402.33,-4.64
2026-02-18,Maize,Hyderabad,C,1977.44,454.01,897780.69,-1.1
2025-09-21,Maize,Chennai,A,1636.62,30.75,50324.89,2.53
2026-01-07,Maize,Mumbai,C,1712.47,138.32,236867.78,-4.77
2025-12-22,Sugarcane,Mumbai,B,353.18,1017.9,359505.02,-3.86
2025-11-08,Tomato,Chennai,C,2119.42,907.03,1922374.31,-0.25
2025-12-01,Tomato,Delhi,C,1958.88,134.03,262550.37,-4.39
2025-06-27,Potato,Hyderabad,B,1420.11,855.88,1215443.39,-0.18
2025-12-22,Potato,Mumbai,B,1254.84,367.01,460542.94,2.32
2025-12-12,Soybean,Mumbai,C,4078.41,953.25,3887727.42,2.2
2026-02-07,Rice,Hyderabad,A,3680.97,270.03,993974.96,-1.65
2025-06-22,Wheat,Delhi,B,2241.2,786.87,1763531.71,-4.62
2025-06-28,Cotton,Chennai,B,6385.01,260.69,1664533.63,4.98
2026-02-09,Onion,Mumbai,B,2113.26,336.47,711038.94,4.47
2025-05-09,Potato,Chennai,C,1407.93,428.59,603423.59,1.24
2025-12-22,Tomato,Hyderabad,B,2509.38,719.21,1804776.31,-3.64
2026-02-15,Tomato,Bangalore,A,3342.53,88.36,295344.69,-0.67
2026-01-02,Maize,Mumbai,A,2240.23,86.93,194749.44,2.03
2025-12-22,Sugarcane,Hyderabad,A,389.07,650.32,253018.32,4.07
2025-10-03,Tomato,Kolkata,A,2403.17,392.93,944272.81,-2.93
2025-12-29,Tomato,Chennai,A,2443.98,32.87,80341.1,-0.13
2025-03-30,Wheat,Hyderabad,A,3224.95,122.4,394742.79,4.03
2025-07-03,Sugarcane,Delhi,B,312.09,1101.52,343769.86,1.97
2025-12-27,Potato,Chennai,C,1237.82,1943.37,2405540.91,-0.56
2025-07-25,Potato,Bangalore,C,1124.88,577.81,649966.01,-3.36
2025-04-30,Onion,Mumbai,A,2890.42,1283.82,3710785.72,-4.29
2025-04-13,Tomato,Hyderabad,A,3269.66,33.06,108092.84,-1.29
2025-03-25,Maize,Kolkata,C,2062.59,228.79,471897.52,4.32
2025-08-02,Wheat,Mumbai,C,1634.03,99.44,162489.68,1.53
2025-09-24,Potato,Mumbai,B,1351.69,4.95,6687.24,3.1
2025-08-16,Sugarcane,Hyderabad,C,272.96,35.83,9780.71,1.61
2026-02-11,Rice,Mumbai,A,4254.9,273.09,1161983.99,-4.12
2025-03-20,Rice,Chennai,C,3972.73,57.61,228860.44,-0.15
2025-04-22,Sugarcane,Mumbai,B,456.82,682.67,311861.41,-2.9
2025-11-14,Sugarcane,Bangalore,B,328.14,1065.12,349503.72,2.4
2025-10-21,Wheat,Delhi,C,1846.61,40.11,74066.92,-4.26
2025-08-05,Sugarcane,Chennai,C,290.41,199.77,58013.5,-0.61
2025-06-15,Wheat,Chennai,C,2238.78,1173.84,2627966.75,-2.62
2025-09-24,Cotton,Chennai,C,3906.85,695.28,2716353.88,3.49
2025-03-17,Rice,Chennai,B,4519.18,68.39,309066.62,2.59
2025-12-06,Rice,Delhi,A,3463.91,469.75,1627166.82,-0.98
2026-01-31,Soybean,Bangalore,C,3810.73,2794.03,10647272.38,-3.24
2025-03-15,Tomato,Delhi,C,2819.64,125.28,353251.54,-4.63
2025-07-03,Rice,Mumbai,C,3593.29,3.24,11626.28,1.18
2025-03-31,Potato,Delhi,B,1929.48,416.99,804567.7,2.69
2025-12-14,Rice,Mumbai,A,3269.4,12.05,39394.67,0.35
2026-02-16,Wheat,Chennai,B,2468.47,728.03,1797112.47,-4.39
