date,crop,pest_type,damage_level,recommended_treatment,temperature_c,humidity_pct,rainfall_last_month_mm,pest_count_per_plant,affected_plants_pct,crop_loss_pct,economic_loss_usd_ha,pest_risk_score,field_id,region
2024-10-18,Maize,Whiteflies,2,Yellow sticky traps,21.38,73.84,142.45,13.0,38.83,3.88,248.2,0.785,FIELD_020,East
2025-08-09,Wheat,Whiteflies,2,Yellow sticky traps,42.37,65.71,167.57,3.9,50.95,5.09,302.36,0.744,FIELD_078,North
2025-03-13,Vegetables,Mites,2,Miticide spray,23.85,53.46,41.24,6.0,52.43,5.24,199.42,0.533,FIELD_032,North
2024-05-27,Rice,Beetles,3,Manual removal,21.02,73.09,62.16,0.3,40.19,6.03,279.16,0.53,FIELD_094,North
2025-08-13,Maize,Locusts,5,Chemical pesticide,40.25,67.41,23.33,0.9,24.16,6.04,191.45,0.71,FIELD_021,West
2025-05-13,Maize,Borers,4,Systemic insecticide,24.82,54.58,174.16,6.4,56.87,11.37,670.05,0.729,FIELD_057,Central
2024-11-02,Cotton,Aphids,3,Neem oil spray,31.56,67.04,51.45,1.3,42.85,6.43,359.2,0.713,FIELD_057,West
2025-04-28,Rice,Thrips,2,Spinosad,21.12,44.64,5.57,0.5,22.46,2.25,158.14,0.435,FIELD_065,West
2024-05-18,Wheat,Caterpillars,4,Bt spray,35.3,69.53,1.13,6.1,48.46,9.69,761.92,0.645,FIELD_060,North
2024-11-05,Wheat,None,0,No action needed,43.07,66.4,59.99,0.0,0.0,0.0,0.0,0.674,FIELD_095,North
2025-12-11,Wheat,Aphids,3,Neem oil spray,8.68,83.65,29.16,6.4,28.28,4.24,208.28,0.406,FIELD_018,East
2025-04-29,Wheat,None,0,No action needed,31.1,80.68,17.57,0.0,0.0,0.0,0.0,0.698,FIELD_048,West
2024-06-09,Rice,Thrips,2,Spinosad,24.61,49.94,222.63,5.6,42.98,4.3,161.7,0.684,FIELD_014,North
2024-09-16,Maize,Borers,4,Systemic insecticide,25.2,83.08,91.18,0.4,28.82,5.76,377.99,0.605,FIELD_092,Central
2024-04-22,Wheat,Aphids,3,Neem oil spray,37.59,81.87,81.25,9.1,40.99,6.15,470.99,0.657,FIELD_036,East
2024-07-01,Wheat,Whiteflies,2,Yellow sticky traps,21.69,57.48,5.34,2.4,18.6,1.86,78.67,0.423,FIELD_085,North
2024-11-27,Fruits,Locusts,5,Chemical pesticide,32.49,72.46,23.98,0.8,27.92,6.98,313.16,0.712,FIELD_025,North
2025-04-25,Wheat,Locusts,5,Chemical pesticide,16.35,79.9,173.0,0.5,26.06,6.52,471.94,0.615,FIELD_037,Central
2024-06-14,Wheat,Caterpillars,4,Bt spray,30.92,53.7,273.15,9.1,14.26,2.85,167.36,0.672,FIELD_092,West
2025-04-29,Maize,Aphids,3,Neem oil spray,30.2,63.1,57.06,5.6,38.82,5.82,277.96,0.631,FIELD_011,South
2025-12-06,Cotton,Aphids,3,Neem oil spray,28.78,88.86,66.57,10.2,52.82,7.92,616.11,0.616,FIELD_006,East
2024-03-20,Wheat,Caterpillars,4,Bt spray,22.46,72.08,200.13,7.8,29.63,5.93,257.61,0.678,FIELD_004,East
2025-02-05,Rice,Aphids,3,Neem oil spray,26.11,75.66,15.25,8.9,18.99,2.85,143.47,0.531,FIELD_012,East
2024-09-03,Cotton,None,0,No action needed,25.54,56.36,133.46,0.0,0.0,0.0,0.0,0.643,FIELD_071,East
2026-01-11,Cotton,Mites,2,Miticide spray,37.77,74.53,3.78,1.2,37.02,3.7,219.9,0.567,FIELD_002,West
2024-11-21,Fruits,Beetles,3,Manual removal,19.98,43.3,311.97,0.7,52.97,7.95,377.31,0.672,FIELD_015,East
2025-10-24,Vegetables,Thrips,2,Spinosad,24.51,85.58,117.75,3.1,37.7,3.77,175.0,0.653,FIELD_030,East
2025-12-08,Cotton,Beetles,3,Manual removal,28.97,42.88,62.26,1.0,24.51,3.68,165.88,0.535,FIELD_003,Central
2025-02-25,Maize,Whiteflies,2,Yellow sticky traps,31.41,76.7,136.65,3.3,43.7,4.37,160.51,0.8,FIELD_093,South
2024-11-08,Wheat,Borers,4,Systemic insecticide,24.03,86.71,29.31,4.7,17.14,3.43,153.99,0.696,FIELD_088,South
2025-12-15,Rice,Beetles,3,Manual removal,28.98,83.74,73.03,0.1,46.72,7.01,350.09,0.75,FIELD_070,West
2025-10-25,Maize,Whiteflies,2,Yellow sticky traps,26.52,46.41,77.13,2.3,5.74,0.57,32.44,0.588,FIELD_016,North
2025-11-30,Rice,Mites,2,Miticide spray,21.63,41.46,100.82,2.5,21.97,2.2,103.41,0.46,FIELD_093,West
2025-11-13,Rice,Thrips,2,Spinosad,38.43,49.52,99.25,2.1,7.93,0.79,35.52,0.758,FIELD_097,East
2024-05-29,Maize,Caterpillars,4,Bt spray,29.86,44.37,203.77,11.0,12.67,2.53,128.74,0.692,FIELD_015,North
2025-01-13,Fruits,Whiteflies,2,Yellow sticky traps,30.89,40.08,27.68,1.6,34.41,3.44,104.45,0.512,FIELD_054,East
2026-02-09,Fruits,Thrips,2,Spinosad,32.52,58.68,15.31,7.2,10.94,1.09,63.74,0.507,FIELD_064,South
2025-03-31,Rice,Beetles,3,Manual removal,14.56,80.03,51.1,5.9,19.32,2.9,98.93,0.503,FIELD_016,North
2024-09-29,Cotton,Caterpillars,4,Bt spray,38.65,53.55,198.38,12.7,23.67,4.73,196.63,0.814,FIELD_010,South
2025-09-23,Cotton,Aphids,3,Neem oil spray,24.96,63.82,54.7,7.8,28.63,4.29,236.08,0.633,FIELD_019,East
2026-01-18,Fruits,None,0,No action needed,38.84,87.93,5.8,0.0,0.0,0.0,0.0,0.699,FIELD_040,East
2025-08-22,Wheat,Thrips,2,Spinosad,36.08,46.39,40.68,4.7,13.21,1.32,63.97,0.6,FIELD_071,Central
2024-11-29,Fruits,Aphids,3,Neem oil spray,24.77,43.14,56.95,9.0,37.09,5.56,424.67,0.525,FIELD_079,West
2024-03-31,Maize,Locusts,5,Chemical pesticide,20.56,66.82,138.07,16.2,54.26,13.56,518.54,0.76,FIELD_099,South
2025-06-24,Wheat,Mites,2,Miticide spray,18.51,75.95,53.34,0.5,50.9,5.09,372.69,0.627,FIELD_013,North
2024-07-03,Wheat,Caterpillars,4,Bt spray,19.67,67.41,27.99,9.6,54.38,10.88,825.75,0.543,FIELD_076,North
2024-02-28,Wheat,Thrips,2,Spinosad,27.21,46.21,53.32,6.4,7.73,0.77,44.08,0.534,FIELD_004,Central
2024-06-04,Wheat,None,0,No action needed,28.06,47.18,43.23,0.0,0.0,0.0,0.0,0.603,FIELD_022,Central
2024-11-14,Vegetables,Whiteflies,2,Yellow sticky traps,29.9,80.01,8.16,7.3,16.05,1.6,119.11,0.587,FIELD_018,South
2024-09-09,Cotton,None,0,No action needed,31.3,74.36,118.54,0.0,0.0,0.0,0.0,0.734,FIELD_040,North
2025-03-13,Vegetables,Thrips,2,Spinosad,35.24,88.81,97.49,3.1,17.95,1.79,99.3,0.723,FIELD_020,East
2025-05-24,Maize,Caterpillars,4,Bt spray,26.43,84.29,143.22,7.5,11.65,2.33,130.77,0.761,FIELD_091,East
2026-01-05,Cotton,Locusts,5,Chemical pesticide,32.89,85.46,68.11,12.4,51.43,12.86,653.45,0.639,FIELD_055,East
2024-04-30,Cotton,Locusts,5,Chemical pesticide,19.86,62.71,48.93,2.4,17.22,4.3,235.12,0.575,FIELD_032,Central
2024-02-24,Fruits,Mites,2,Miticide spray,13.31,46.55,89.37,10.0,32.79,3.28,120.02,0.419,FIELD_077,West
2024-11-29,Vegetables,Thrips,2,Spinosad,29.03,75.48,11.68,3.6,6.69,0.67,30.03,0.527,FIELD_009,North
2026-01-12,Wheat,Beetles,3,Manual removal,41.4,58.74,88.39,3.2,47.03,7.06,259.77,0.722,FIELD_099,South
2024-07-20,Fruits,Locusts,5,Chemical pesticide,22.4,83.73,188.86,11.6,55.34,13.84,1028.35,0.799,FIELD_060,South
2025-05-18,Wheat,Caterpillars,4,Bt spray,28.06,53.6,33.58,11.1,57.48,11.5,407.45,0.542,FIELD_095,West
2024-10-03,Cotton,Borers,4,Systemic insecticide,18.07,56.37,31.35,4.3,30.97,6.19,494.77,0.507,FIELD_080,Central
2025-06-25,Cotton,Mites,2,Miticide spray,30.9,56.56,58.93,6.8,47.68,4.77,348.42,0.662,FIELD_059,Central
2025-12-13,Cotton,Aphids,3,Neem oil spray,28.45,88.97,108.5,0.3,44.96,6.74,326.62,0.756,FIELD_001,Central
2024-03-14,Maize,Locusts,5,Chemical pesticide,41.42,84.5,15.52,7.7,57.77,14.44,924.85,0.722,FIELD_007,Central
2024-06-05,Fruits,Caterpillars,4,Bt spray,16.08,59.2,56.99,6.7,34.54,6.91,218.0,0.517,FIELD_046,North
2024-03-10,Rice,Caterpillars,4,Bt spray,26.66,65.68,45.5,5.1,12.92,2.58,134.1,0.625,FIELD_096,North
2025-02-21,Vegetables,Borers,4,Systemic insecticide,29.82,66.34,10.61,3.9,45.44,9.09,574.46,0.626,FIELD_023,North
2024-07-24,Fruits,Locusts,5,Chemical pesticide,36.21,69.96,107.48,3.0,15.68,3.92,311.72,0.815,FIELD_032,West
2025-01-21,Fruits,Whiteflies,2,Yellow sticky traps,23.53,78.12,201.51,18.3,25.48,2.55,87.5,0.775,FIELD_050,South
2026-02-03,Cotton,Whiteflies,2,Yellow sticky traps,30.9,67.77,63.17,0.8,16.72,1.67,64.23,0.634,FIELD_020,Central
2025-03-23,Fruits,Whiteflies,2,Yellow sticky traps,33.49,66.44,55.68,1.7,15.64,1.56,93.69,0.626,FIELD_018,West
2024-05-01,Wheat,Mites,2,Miticide spray,29.37,79.5,4.64,2.0,15.67,1.57,101.49,0.673,FIELD_088,Central
2024-12-18,Wheat,Mites,2,Miticide spray,22.23,49.03,210.01,1.7,15.53,1.55,122.34,0.693,FIELD_012,North
2024-08-01,Wheat,Thrips,2,Spinosad,34.63,67.25,11.77,14.1,36.42,3.64,243.06,0.674,FIELD_087,South
2024-05-21,Fruits,Aphids,3,Neem oil spray,14.65,68.41,33.17,3.9,58.81,8.82,618.85,0.575,FIELD_073,South
2024-04-16,Cotton,Borers,4,Systemic insecticide,34.96,55.89,45.71,1.0,25.64,5.13,392.01,0.601,FIELD_062,South
2024-12-25,Vegetables,Aphids,3,Neem oil spray,36.76,50.34,24.56,3.5,31.14,4.67,162.43,0.506,FIELD_054,South
2025-07-23,Vegetables,Caterpillars,4,Bt spray,33.57,62.53,10.19,5.7,5.71,1.14,68.27,0.558,FIELD_077,East
2026-01-05,Cotton,Mites,2,Miticide spray,21.72,42.42,10.51,6.9,18.56,1.86,81.01,0.425,FIELD_090,West
2024-05-02,Cotton,Borers,4,Systemic insecticide,21.35,43.64,65.25,8.0,28.18,5.64,215.85,0.406,FIELD_002,East
2025-02-22,Vegetables,Aphids,3,Neem oil spray,13.25,57.36,157.92,0.5,57.58,8.64,636.53,0.494,FIELD_083,North
2024-04-26,Maize,Aphids,3,Neem oil spray,27.25,44.0,245.35,0.1,56.81,8.52,531.38,0.675,FIELD_007,Central
2025-12-27,Rice,None,0,No action needed,22.27,72.7,10.93,0.0,0.0,0.0,0.0,0.476,FIELD_006,West
2024-05-20,Maize,Locusts,5,Chemical pesticide,32.2,61.74,48.66,1.2,37.13,9.28,317.22,0.584,FIELD_007,Central
2024-09-20,Maize,Aphids,3,Neem oil spray,31.57,48.35,174.38,6.0,46.35,6.95,483.61,0.643,FIELD_048,West
2025-04-23,Wheat,Thrips,2,Spinosad,30.44,49.96,218.99,2.9,24.76,2.48,109.47,0.739,FIELD_075,Central
2025-05-01,Rice,Whiteflies,2,Yellow sticky traps,34.05,62.54,15.2,7.3,13.7,1.37,68.0,0.613,FIELD_034,South
2024-12-19,Cotton,Whiteflies,2,Yellow sticky traps,28.5,43.66,2.65,2.9,30.78,3.08,142.08,0.46,FIELD_007,East
2026-02-06,Vegetables,Locusts,5,Chemical pesticide,26.87,44.15,77.69,6.9,16.56,4.14,161.34,0.474,FIELD_082,Central
2024-06-05,Cotton,Aphids,3,Neem oil spray,41.48,75.86,2.67,17.4,59.13,8.87,632.81,0.669,FIELD_052,North
2024-07-04,Fruits,Whiteflies,2,Yellow sticky traps,25.88,58.39,39.6,11.9,20.17,2.02,148.79,0.48,FIELD_065,North
2025-04-08,Rice,None,0,No action needed,22.46,70.95,109.07,0.0,0.0,0.0,0.0,0.631,FIELD_053,West
2024-09-03,Vegetables,Thrips,2,Spinosad,15.41,58.59,28.69,3.0,45.19,4.52,261.57,0.447,FIELD_002,South
2025-10-05,Cotton,Whiteflies,2,Yellow sticky traps,40.91,67.77,98.88,3.5,43.08,4.31,311.98,0.651,FIELD_057,East
2024-07-22,Wheat,Whiteflies,2,Yellow sticky traps,29.09,77.63,134.61,6.9,17.68,1.77,63.38,0.845,FIELD_099,West
2024-12-01,Maize,Borers,4,Systemic insecticide,20.66,73.81,162.01,21.2,34.86,6.97,515.61,0.695,FIELD_048,North
2024-03-12,Maize,Aphids,3,Neem oil spray,24.32,67.06,67.02,10.4,18.24,2.74,184.3,0.567,FIELD_025,West
2025-03-09,Fruits,Caterpillars,4,Bt spray,28.09,47.7,159.51,2.6,33.21,6.64,527.9,0.677,FIELD_014,East
2024-11-20,Fruits,Beetles,3,Manual removal,33.61,47.38,87.42,4.0,14.96,2.24,88.46,0.731,FIELD_086,South
2025-08-22,Wheat,Beetles,3,Manual removal,28.8,79.51,37.42,0.7,55.63,8.34,359.12,0.571,FIELD_092,Central
2025-06-11,Cotton,None,0,No action needed,25.03,43.16,179.4,0.0,0.0,0.0,0.0,0.622,FIELD_005,South
2024-07-02,Rice,Aphids,3,Neem oil spray,29.06,55.24,39.29,7.1,19.71,2.96,168.06,0.64,FIELD_055,West
2025-04-27,Cotton,None,0,No action needed,38.93,83.87,179.42,0.0,0.0,0.0,0.0,0.854,FIELD_057,East
2025-01-10,Maize,Borers,4,Systemic insecticide,32.16,78.5,19.11,2.0,23.18,4.64,318.53,0.63,FIELD_027,East
2025-12-05,Rice,Beetles,3,Manual removal,28.0,76.47,3.6,5.5,22.33,3.35,137.09,0.607,FIELD_034,West
2025-05-04,Vegetables,Caterpillars,4,Bt spray,30.09,89.69,199.42,7.2,23.65,4.73,213.05,0.921,FIELD_018,West
2026-02-18,Wheat,None,0,No action needed,22.95,44.95,18.96,0.0,0.0,0.0,0.0,0.456,FIELD_022,North
2024-11-07,Wheat,None,0,No action needed,26.24,55.29,71.87,0.0,0.0,0.0,0.0,0.62,FIELD_098,North
2025-07-22,Vegetables,Borers,4,Systemic insecticide,33.48,52.72,149.5,3.1,9.53,1.91,109.71,0.702,FIELD_012,North
2025-10-24,Rice,Aphids,3,Neem oil spray,19.23,81.29,15.17,2.7,6.94,1.04,64.93,0.448,FIELD_082,South
2026-02-14,Rice,None,0,No action needed,30.51,76.16,88.79,0.0,0.0,0.0,0.0,0.706,FIELD_031,East
2025-11-12,Wheat,Mites,2,Miticide spray,24.48,71.87,68.19,6.5,27.21,2.72,201.53,0.564,FIELD_077,Central
2026-01-25,Maize,Borers,4,Systemic insecticide,32.86,80.22,73.8,8.0,57.98,11.6,349.65,0.626,FIELD_063,Central
2024-08-21,Wheat,Beetles,3,Manual removal,16.72,42.45,186.41,0.7,34.68,5.2,391.47,0.579,FIELD_052,West
2025-11-25,Cotton,Aphids,3,Neem oil spray,18.5,58.46,97.55,27.4,38.09,5.71,355.75,0.5,FIELD_051,East
2025-04-06,Vegetables,Thrips,2,Spinosad,33.78,77.5,21.79,3.5,53.32,5.33,207.53,0.696,FIELD_007,East
2025-07-06,Fruits,Thrips,2,Spinosad,23.36,57.38,5.45,1.6,28.07,2.81,188.75,0.405,FIELD_086,West
2025-12-05,Fruits,Mites,2,Miticide spray,25.05,47.53,37.04,13.1,36.01,3.6,171.05,0.493,FIELD_019,South
2024-03-15,Cotton,Locusts,5,Chemical pesticide,33.96,76.9,3.58,15.1,50.81,12.7,944.26,0.66,FIELD_089,West
2025-10-07,Wheat,Mites,2,Miticide spray,15.8,55.04,7.45,0.2,7.98,0.8,31.08,0.343,FIELD_003,East
2025-05-20,Rice,Aphids,3,Neem oil spray,35.05,79.27,8.89,7.3,29.2,4.38,341.64,0.67,FIELD_093,West
2026-01-31,Vegetables,Locusts,5,Chemical pesticide,42.07,64.69,67.69,6.1,51.41,12.85,977.93,0.722,FIELD_084,East
2024-12-24,Fruits,Beetles,3,Manual removal,33.71,85.88,62.84,1.3,23.63,3.54,259.35,0.759,FIELD_043,Central
2025-09-27,Fruits,Whiteflies,2,Yellow sticky traps,32.02,73.2,511.17,3.5,54.57,5.46,256.42,0.822,FIELD_068,Central
2025-04-01,Vegetables,Mites,2,Miticide spray,16.5,79.61,214.02,3.3,52.03,5.2,292.47,0.71,FIELD_065,West
2025-06-08,Rice,Caterpillars,4,Bt spray,32.74,88.42,120.46,1.6,9.04,1.81,59.53,0.85,FIELD_086,Central
2024-11-16,Maize,Thrips,2,Spinosad,24.22,79.37,87.64,5.5,55.54,5.55,290.22,0.661,FIELD_025,Central
2025-12-17,Wheat,None,0,No action needed,33.05,49.28,18.04,0.0,0.0,0.0,0.0,0.574,FIELD_023,South
2024-08-14,Vegetables,Thrips,2,Spinosad,22.96,53.99,41.12,0.9,37.62,3.76,142.18,0.477,FIELD_057,West
2025-11-25,Maize,Thrips,2,Spinosad,28.47,57.37,207.76,2.3,44.88,4.49,208.5,0.677,FIELD_033,South
2025-07-05,Rice,Borers,4,Systemic insecticide,31.21,63.67,65.13,2.8,50.79,10.16,656.32,0.738,FIELD_049,North
2024-05-25,Vegetables,Aphids,3,Neem oil spray,33.5,83.34,25.63,6.9,37.51,5.63,335.29,0.624,FIELD_043,West
2025-03-09,Fruits,Caterpillars,4,Bt spray,12.41,53.5,214.54,0.2,34.96,6.99,451.14,0.503,FIELD_060,Central
2025-04-12,Cotton,Borers,4,Systemic insecticide,34.42,80.52,170.23,2.7,38.92,7.78,305.83,0.909,FIELD_097,South
2025-11-04,Fruits,None,0,No action needed,28.52,47.59,10.29,0.0,0.0,0.0,0.0,0.473,FIELD_028,East
2025-08-19,Wheat,Aphids,3,Neem oil spray,31.07,53.05,119.06,4.1,47.57,7.14,299.96,0.741,FIELD_021,East
2024-06-22,Fruits,Locusts,5,Chemical pesticide,26.91,76.11,8.83,4.9,26.18,6.54,482.14,0.538,FIELD_063,Central
2025-03-06,Rice,Locusts,5,Chemical pesticide,33.0,70.91,11.85,1.4,40.57,10.14,322.19,0.691,FIELD_038,West
2024-04-16,Maize,Whiteflies,2,Yellow sticky traps,39.26,75.95,6.32,4.4,59.74,5.97,205.47,0.541,FIELD_009,South
2025-10-28,Cotton,Mites,2,Miticide spray,24.93,67.9,48.4,5.2,47.72,4.77,157.59,0.566,FIELD_052,North
2024-09-02,Wheat,Mites,2,Miticide spray,12.68,47.33,84.37,5.6,49.83,4.98,361.93,0.562,FIELD_012,North
2025-01-28,Maize,Mites,2,Miticide spray,28.64,83.06,16.65,4.3,30.39,3.04,119.04,0.595,FIELD_065,Central
2024-11-20,Fruits,None,0,No action needed,26.13,55.08,151.6,0.0,0.0,0.0,0.0,0.591,FIELD_021,East
2025-10-10,Cotton,Beetles,3,Manual removal,24.64,86.12,3.13,1.0,16.15,2.42,169.9,0.567,FIELD_047,Central
2025-10-09,Vegetables,Caterpillars,4,Bt spray,28.41,48.36,11.91,2.4,36.23,7.25,505.63,0.56,FIELD_043,East
2024-03-02,Fruits,Aphids,3,Neem oil spray,28.78,40.81,67.55,1.0,52.34,7.85,386.11,0.627,FIELD_085,East
2025-04-24,Wheat,Beetles,3,Manual removal,25.58,85.74,40.86,4.5,56.24,8.44,356.64,0.549,FIELD_089,South
2024-07-11,Cotton,None,0,No action needed,47.73,61.67,277.86,0.0,0.0,0.0,0.0,0.796,FIELD_025,Central
2025-07-31,Cotton,Thrips,2,Spinosad,34.86,42.95,3.58,4.4,55.44,5.54,394.29,0.545,FIELD_050,Central
2026-01-27,Wheat,None,0,No action needed,39.17,40.1,40.61,0.0,0.0,0.0,0.0,0.572,FIELD_033,East
2024-06-08,Cotton,None,0,No action needed,28.06,78.71,52.52,0.0,0.0,0.0,0.0,0.64,FIELD_006,South
2024-06-10,Maize,Mites,2,Miticide spray,20.87,77.76,17.81,8.9,40.52,4.05,286.68,0.463,FIELD_029,South
2024-03-18,Fruits,None,0,No action needed,24.88,59.46,11.12,0.0,0.0,0.0,0.0,0.558,FIELD_029,North
2025-03-04,Wheat,Caterpillars,4,Bt spray,28.21,45.45,197.47,5.3,52.04,10.41,659.43,0.677,FIELD_062,North
2024-10-30,Vegetables,Whiteflies,2,Yellow sticky traps,28.7,43.79,6.6,18.2,11.16,1.12,73.45,0.439,FIELD_006,East
2024-02-28,Fruits,None,0,No action needed,28.06,55.31,29.68,0.0,0.0,0.0,0.0,0.449,FIELD_064,Central
2024-12-11,Wheat,Aphids,3,Neem oil spray,31.42,57.49,16.6,20.9,22.98,3.45,132.89,0.659,FIELD_046,North
2024-09-10,Rice,Caterpillars,4,Bt spray,30.24,45.11,0.89,7.5,7.36,1.47,74.97,0.541,FIELD_036,East
2025-12-09,Vegetables,Locusts,5,Chemical pesticide,23.55,74.1,2.13,0.1,24.96,6.24,459.95,0.607,FIELD_068,South
2024-06-12,Maize,Thrips,2,Spinosad,19.2,77.12,31.39,18.6,47.87,4.79,166.84,0.595,FIELD_035,North
2024-09-17,Rice,Caterpillars,4,Bt spray,27.68,82.14,39.95,0.7,33.82,6.76,458.48,0.736,FIELD_100,West
2024-07-26,Wheat,None,0,No action needed,33.68,58.13,10.92,0.0,0.0,0.0,0.0,0.483,FIELD_039,West
2024-02-25,Rice,Thrips,2,Spinosad,33.09,66.15,85.71,3.5,32.98,3.3,177.2,0.714,FIELD_045,North
2024-11-08,Rice,Thrips,2,Spinosad,45.16,43.89,39.96,15.2,34.81,3.48,272.44,0.556,FIELD_068,South
2026-01-04,Vegetables,Caterpillars,4,Bt spray,19.42,43.37,1.55,11.7,21.09,4.22,181.74,0.479,FIELD_046,North
2024-04-25,Cotton,Aphids,3,Neem oil spray,26.41,87.47,80.8,16.5,18.28,2.74,121.37,0.732,FIELD_066,West
2024-11-19,Maize,Borers,4,Systemic insecticide,19.45,89.66,90.75,6.4,15.01,3.0,212.71,0.7,FIELD_043,North
2026-01-15,Rice,Beetles,3,Manual removal,45.23,71.18,6.75,17.3,38.59,5.79,334.91,0.631,FIELD_096,East
2024-10-12,Fruits,Mites,2,Miticide spray,19.67,88.94,191.91,1.4,6.91,0.69,47.13,0.681,FIELD_008,South
2025-01-14,Rice,Borers,4,Systemic insecticide,38.46,55.91,2.06,1.3,9.04,1.81,65.42,0.63,FIELD_028,West
2025-12-12,Rice,Thrips,2,Spinosad,23.82,86.31,265.17,2.5,20.66,2.07,144.07,0.757,FIELD_033,West
2025-05-08,Maize,Whiteflies,2,Yellow sticky traps,30.5,88.13,32.79,1.6,34.82,3.48,189.17,0.76,FIELD_098,North
2024-12-02,Rice,Caterpillars,4,Bt spray,30.34,56.54,103.48,2.2,5.86,1.17,39.36,0.597,FIELD_079,East
2024-11-29,Fruits,Mites,2,Miticide spray,39.76,58.8,134.1,14.2,55.95,5.6,174.96,0.659,FIELD_009,East
