timestamp,irrigation_zone,irrigation_type,soil_moisture_pct,soil_temperature_c,soil_ph,soil_ec_ds_m,nitrogen_ppm,phosphorus_ppm,potassium_ppm,air_temperature_c,air_humidity_pct,wind_speed_kmh,solar_radiation_wm2,evapotranspiration_mm,irrigation_needed,recommended_water_mm,actual_water_used_mm
2025-04-21 10:35:04,Zone_B,Center_Pivot,58.84,11.97,7.72,3.49,205.37,58.65,285.3,31.59,57.94,5.49,293.34,6.8,False,0.0,0.0
2025-05-02 10:35:04,Zone_C,Drip,50.9,23.36,6.87,2.33,50.01,51.36,93.19,32.49,81.49,2.67,308.81,7.29,False,0.0,0.0
2025-11-26 05:35:04,Zone_C,Center_Pivot,45.83,16.85,7.68,2.28,370.23,33.11,147.82,3.38,76.65,7.65,978.93,9.73,False,0.0,0.0
2025-11-19 18:35:04,Zone_A,Sprinkler,53.99,36.9,6.58,1.85,147.95,63.72,302.07,40.47,68.01,3.2,157.27,4.3,False,0.0,0.0
2025-09-18 04:35:04,Zone_C,Center_Pivot,27.34,19.36,8.16,1.35,251.5,96.74,217.05,35.96,42.54,1.3,241.92,6.11,True,16.33,13.2
2025-07-13 07:35:04,Zone_A,Center_Pivot,58.47,26.75,5.72,3.8,266.46,17.95,75.47,30.25,60.59,1.4,315.18,7.11,False,0.0,0.0
2025-08-26 11:35:04,Zone_D,Drip,10.82,15.05,5.73,1.06,53.73,19.32,228.3,24.63,45.4,0.36,221.94,4.42,True,24.59,20.09
2025-12-09 01:35:04,Zone_D,Sprinkler,64.39,13.19,8.12,0.78,63.01,48.17,129.21,51.16,58.55,11.69,501.63,16.24,False,0.0,0.0
2025-08-25 10:35:04,Zone_B,Sprinkler,21.98,18.23,7.77,0.99,168.0,12.03,120.63,37.61,68.82,1.73,225.29,5.86,True,19.01,15.63
2025-10-05 02:35:04,Zone_C,Drip,52.19,11.0,7.37,2.45,395.66,14.61,305.41,14.93,65.97,10.71,724.52,11.13,False,0.0,0.0
2025-05-04 19:35:04,Zone_D,Sprinkler,63.36,25.87,8.34,0.97,372.55,86.9,117.9,34.13,37.44,4.95,708.36,17.27,False,0.0,0.0
2025-08-28 09:35:04,Zone_A,Sprinkler,59.76,23.55,6.35,3.5,201.69,49.12,197.74,36.78,80.13,17.66,253.99,6.51,False,0.0,0.0
2025-05-09 02:35:04,Zone_C,Center_Pivot,18.55,26.27,7.08,0.52,253.67,59.41,73.95,22.2,38.94,0.49,569.04,10.68,True,20.72,20.98
2025-07-19 15:35:04,Zone_D,Sprinkler,42.21,39.65,7.49,3.87,240.8,33.91,342.38,11.55,36.35,1.87,912.18,12.57,True,8.9,10.47
2025-12-30 00:35:04,Zone_A,Drip,55.15,21.72,8.3,3.61,362.82,36.45,297.44,22.01,70.34,11.21,674.12,12.6,False,0.0,0.0
2025-05-25 14:35:04,Zone_D,Sprinkler,36.26,10.74,5.51,3.36,347.28,77.33,118.25,38.31,38.15,0.93,550.89,14.51,True,11.87,10.75
2025-11-08 05:35:04,Zone_D,Sprinkler,71.48,5.04,8.11,0.78,354.84,82.19,256.13,43.87,36.66,0.27,249.5,7.22,False,0.0,0.0
2025-12-18 21:35:04,Zone_D,Center_Pivot,28.92,16.27,6.05,1.2,284.75,41.16,132.58,26.98,31.75,0.5,594.76,12.5,True,15.54,16.37
2025-09-11 05:35:04,Zone_D,Center_Pivot,61.96,7.94,6.38,2.78,199.24,24.25,51.17,24.81,45.6,7.04,698.26,13.97,False,0.0,0.0
2025-07-18 00:35:04,Zone_B,Sprinkler,16.83,12.93,6.92,0.89,287.81,62.56,127.7,23.22,89.55,4.44,341.87,6.58,True,21.58,20.36
2025-04-02 18:35:04,Zone_A,Drip,74.13,17.26,7.21,1.66,156.47,46.93,299.34,19.06,80.46,5.48,619.57,10.72,False,0.0,0.0
2025-11-02 03:35:04,Zone_C,Center_Pivot,11.09,26.65,8.01,1.01,390.89,29.5,87.14,25.83,47.34,0.76,302.21,6.19,True,24.45,22.58
2025-09-27 05:35:04,Zone_A,Sprinkler,51.35,27.55,6.39,3.84,153.88,46.09,176.68,47.94,31.35,2.8,404.51,12.48,False,0.0,0.0
2025-08-21 21:35:04,Zone_C,Center_Pivot,14.95,26.8,6.35,1.41,366.65,27.02,312.11,33.81,34.67,9.15,587.48,14.23,True,22.53,25.01
2025-02-28 10:35:04,Zone_B,Sprinkler,16.51,11.09,7.05,2.7,186.29,50.27,161.08,3.04,71.92,11.95,202.89,1.99,True,21.75,19.9
2025-09-03 22:35:04,Zone_D,Center_Pivot,25.38,23.1,5.93,1.89,215.79,66.07,114.59,31.39,60.12,8.09,693.99,16.02,True,17.31,14.57
2026-02-09 11:35:04,Zone_C,Sprinkler,73.86,15.12,7.58,2.11,255.8,53.0,142.34,6.6,56.46,1.87,503.78,5.77,False,0.0,0.0
2026-02-17 14:35:04,Zone_C,Drip,24.18,23.26,5.88,3.38,177.37,32.4,172.93,21.53,38.98,9.45,250.07,4.62,True,17.91,17.87
2025-03-27 02:35:04,Zone_B,Sprinkler,21.34,15.64,8.18,1.87,199.13,54.54,117.39,26.08,63.05,1.44,852.42,17.56,True,19.33,21.85
2025-06-29 05:35:04,Zone_A,Center_Pivot,43.4,23.77,7.89,0.72,110.41,63.65,161.5,25.14,78.24,5.12,991.62,19.99,True,8.3,6.68
2025-04-20 06:35:04,Zone_C,Sprinkler,40.69,10.71,8.16,1.92,328.71,66.94,196.32,5.15,71.57,1.3,228.06,2.46,True,9.66,11.46
2025-10-20 15:35:04,Zone_D,Center_Pivot,37.41,13.4,7.37,3.99,363.21,46.04,318.59,16.01,57.43,0.58,269.08,4.27,True,11.3,10.14
2025-11-16 04:35:04,Zone_A,Drip,74.24,24.09,8.04,2.05,208.42,89.07,58.8,24.47,85.84,0.47,911.29,18.08,False,0.0,0.0
2025-11-02 21:35:04,Zone_D,Drip,14.48,26.03,6.79,0.78,102.12,93.13,165.33,29.32,75.34,5.86,526.42,11.64,True,22.76,26.04
2025-06-30 18:35:04,Zone_D,Drip,55.82,27.68,6.17,1.53,314.43,84.63,229.29,30.05,89.6,10.52,820.48,18.43,False,0.0,0.0
2025-11-15 05:35:04,Zone_C,Sprinkler,27.17,12.65,5.78,3.06,194.27,65.89,262.84,10.98,30.5,0.25,401.59,5.43,True,16.41,17.43
2025-03-26 04:35:04,Zone_B,Drip,43.48,16.23,6.64,2.47,137.22,56.38,193.34,17.48,48.55,2.85,445.02,7.37,True,8.26,9.75
2025-11-06 02:35:04,Zone_B,Drip,14.82,15.96,6.06,3.55,214.34,55.91,174.74,35.57,54.27,5.9,783.47,19.63,True,22.59,25.2
2026-02-01 02:35:04,Zone_C,Sprinkler,46.76,29.93,7.55,1.18,299.12,68.33,78.87,32.22,68.77,10.4,471.92,11.08,False,0.0,0.0
2025-03-11 01:35:04,Zone_C,Center_Pivot,19.35,10.9,7.14,2.84,228.6,37.77,307.11,30.88,38.16,0.22,845.87,19.33,True,20.33,16.54
2025-12-02 20:35:04,Zone_C,Drip,44.1,5.64,6.33,3.09,178.22,21.14,188.95,29.79,73.58,1.84,218.89,4.89,True,7.95,7.44
2025-11-14 14:35:04,Zone_C,Drip,48.18,20.15,8.41,1.21,72.23,48.89,72.15,21.52,30.81,0.08,366.8,6.77,False,0.0,0.0
2025-07-02 01:35:04,Zone_D,Sprinkler,15.17,26.3,6.37,2.51,193.96,89.63,258.93,13.86,81.15,3.66,803.08,11.93,True,22.42,23.45
2026-02-05 23:35:04,Zone_A,Center_Pivot,62.07,12.83,5.88,3.32,77.07,64.47,346.63,35.61,40.96,6.8,957.84,24.01,False,0.0,0.0
2026-02-18 21:35:04,Zone_C,Sprinkler,44.68,6.68,6.83,2.71,355.01,95.71,212.97,35.57,76.94,6.67,322.32,8.07,True,7.66,7.54
2025-09-27 03:35:04,Zone_D,Center_Pivot,57.85,13.47,8.11,1.1,62.44,35.74,95.07,2.65,89.14,4.18,608.07,5.84,False,0.0,0.0
2026-01-18 22:35:04,Zone_B,Drip,65.59,23.27,5.93,0.83,203.9,92.16,182.32,8.06,57.1,10.02,357.44,4.34,False,0.0,0.0
2025-10-04 10:35:04,Zone_C,Drip,44.29,24.19,5.61,1.95,146.8,33.15,123.26,22.35,52.17,11.59,737.89,13.9,True,7.85,9.08
2025-09-04 14:35:04,Zone_D,Sprinkler,23.75,20.16,8.44,2.58,220.58,93.27,164.4,36.42,74.92,3.21,760.25,19.35,True,18.12,16.5
2025-10-13 09:35:04,Zone_B,Center_Pivot,38.47,28.97,8.29,3.07,337.56,41.85,95.2,21.35,71.2,5.07,337.39,6.2,True,10.77,12.54
2025-03-04 11:35:04,Zone_C,Sprinkler,35.03,20.0,6.36,2.65,134.68,96.08,215.47,27.12,73.89,4.12,466.09,9.83,True,12.49,14.09
2025-08-21 05:35:04,Zone_D,Center_Pivot,11.58,29.91,5.76,1.23,386.22,96.31,165.36,23.1,75.14,4.91,543.71,10.44,True,24.21,27.25
2025-04-24 06:35:04,Zone_A,Center_Pivot,55.56,28.53,7.83,3.64,373.84,93.32,247.15,11.14,67.45,0.07,176.09,2.39,False,0.0,0.0
2025-03-16 06:35:04,Zone_A,Sprinkler,37.48,25.35,6.21,0.93,213.87,92.16,65.94,38.33,57.76,0.3,325.07,8.56,True,11.26,13.3
2026-01-20 10:35:04,Zone_A,Sprinkler,17.33,26.16,5.71,3.76,91.14,21.5,231.45,23.78,44.64,0.02,774.53,15.12,True,21.34,20.23
2025-08-17 12:35:04,Zone_D,Drip,73.57,29.41,6.48,1.02,391.19,62.94,301.92,12.86,45.01,2.5,529.2,7.62,False,0.0,0.0
2025-08-13 16:35:04,Zone_B,Drip,54.07,10.53,6.07,2.6,136.68,45.69,60.4,19.03,45.39,3.3,816.44,14.12,False,0.0,0.0
2025-04-21 13:35:04,Zone_A,Drip,36.11,23.18,5.65,1.74,97.35,32.82,167.2,6.2,33.48,7.98,347.26,3.91,True,11.94,10.67
2025-08-13 19:35:04,Zone_A,Center_Pivot,34.05,31.17,6.35,2.11,224.36,37.51,285.0,20.16,67.44,6.38,149.12,2.66,True,12.98,14.63
2025-03-23 04:35:04,Zone_C,Sprinkler,26.83,24.12,6.15,1.92,297.77,19.24,88.32,18.28,69.89,2.99,299.08,5.06,True,16.59,16.69
2025-10-07 23:35:04,Zone_D,Center_Pivot,53.3,12.48,7.44,0.92,278.74,34.38,50.42,21.55,57.95,1.86,306.47,5.66,False,0.0,0.0
2025-04-26 16:35:04,Zone_A,Center_Pivot,44.89,11.94,7.79,0.79,189.25,32.22,135.61,14.98,56.51,12.8,693.29,10.67,True,7.55,6.63
2025-06-03 23:35:04,Zone_B,Center_Pivot,50.07,26.78,7.49,3.42,112.75,86.94,106.86,23.99,88.57,1.64,715.65,14.04,False,0.0,0.0
2025-04-12 12:35:04,Zone_D,Drip,48.25,0.86,6.65,1.56,259.02,98.58,251.65,17.06,75.42,5.31,564.15,9.23,False,0.0,0.0
2025-12-27 07:35:04,Zone_C,Sprinkler,67.2,12.62,6.65,2.53,50.03,85.16,140.95,15.86,66.05,0.27,488.46,7.72,False,0.0,0.0
2025-03-22 02:35:04,Zone_C,Drip,14.75,31.91,6.51,2.77,83.0,27.14,191.39,21.25,56.43,1.08,883.7,16.2,True,22.62,20.67
2025-07-12 13:35:04,Zone_C,Sprinkler,39.91,11.82,8.22,1.05,371.37,61.17,116.95,16.71,45.12,6.21,135.43,2.19,True,10.04,10.91
2025-03-14 00:35:04,Zone_D,Sprinkler,31.69,19.88,6.25,2.04,357.72,35.57,303.14,27.18,36.12,0.95,242.16,5.11,True,14.15,14.79
2025-11-28 05:35:04,Zone_B,Sprinkler,37.21,21.65,8.01,1.34,375.96,67.14,201.69,36.27,66.53,12.45,408.29,10.36,True,11.4,10.24
2025-03-15 11:35:04,Zone_C,Drip,27.18,21.92,8.15,0.98,200.72,65.73,339.05,25.29,70.64,0.01,784.13,15.86,True,16.41,17.39
2025-08-16 08:35:04,Zone_B,Sprinkler,22.96,27.39,5.51,3.91,153.68,64.68,133.27,26.91,73.85,3.63,336.63,7.06,True,18.52,18.54
2025-03-11 02:35:04,Zone_C,Drip,34.61,26.41,7.41,0.99,375.21,10.6,133.08,10.15,50.6,0.34,181.0,2.37,True,12.69,14.46
2026-01-07 02:35:04,Zone_C,Drip,35.33,33.41,7.67,2.98,214.12,73.6,327.18,14.81,38.09,4.28,890.86,13.63,True,12.34,14.63
2025-03-12 23:35:04,Zone_D,Drip,16.16,16.29,7.23,1.76,254.95,76.37,105.02,29.55,39.18,2.21,678.09,15.07,True,21.92,23.45
2025-05-09 22:35:04,Zone_B,Center_Pivot,52.62,25.7,7.01,2.19,329.2,89.56,304.73,31.88,59.78,4.33,807.68,18.83,False,0.0,0.0
2025-08-27 04:35:04,Zone_B,Drip,50.56,24.97,6.98,3.94,243.64,44.82,113.99,22.36,50.69,1.25,929.47,17.52,False,0.0,0.0
2025-11-01 12:35:04,Zone_B,Drip,52.03,17.92,5.69,1.97,377.68,20.18,286.58,30.6,33.55,0.9,756.95,17.2,False,0.0,0.0
2025-09-23 02:35:04,Zone_B,Drip,24.77,23.9,7.14,1.94,101.04,29.4,105.54,42.22,72.43,9.39,313.77,8.84,True,17.62,15.31
2025-07-20 01:35:04,Zone_A,Drip,27.62,16.34,7.48,1.36,343.01,12.09,200.08,28.51,69.8,6.8,910.32,19.79,True,16.19,17.01
2025-04-10 17:35:04,Zone_A,Drip,19.0,23.78,5.8,0.99,339.93,60.9,97.35,42.72,77.31,4.42,250.64,7.12,True,20.5,20.09
2025-11-16 19:35:04,Zone_A,Sprinkler,75.03,16.94,5.52,1.29,113.29,43.99,314.75,39.07,40.8,0.26,218.2,5.82,False,0.0,0.0
2025-08-17 00:35:04,Zone_C,Sprinkler,41.23,22.77,6.32,1.81,104.62,77.12,164.41,17.67,36.91,2.24,985.17,16.4,True,9.38,10.19
2025-05-08 19:35:04,Zone_D,Sprinkler,70.85,22.96,7.17,3.67,355.65,74.47,296.59,34.64,74.48,1.84,208.71,5.14,False,0.0,0.0
2026-01-01 22:35:04,Zone_C,Center_Pivot,60.2,23.13,7.35,1.79,243.4,51.02,327.38,20.36,47.95,0.99,705.82,12.64,False,0.0,0.0
2025-08-21 22:35:04,Zone_A,Center_Pivot,30.01,26.4,5.98,2.37,142.76,71.39,58.53,6.44,71.94,3.65,442.01,5.03,True,15.0,12.38
2025-04-08 06:35:04,Zone_D,Sprinkler,14.37,27.37,6.9,0.52,334.58,69.9,73.04,33.14,46.59,0.35,882.85,21.11,True,22.82,22.85
2026-02-14 15:35:04,Zone_C,Sprinkler,36.2,32.78,7.46,3.4,258.05,10.27,90.84,32.22,82.03,0.68,657.63,15.44,True,11.9,10.5
2025-05-10 07:35:04,Zone_B,Center_Pivot,77.23,16.99,7.82,2.8,162.57,72.82,343.98,12.54,38.7,1.38,504.14,7.18,False,0.0,0.0
2025-12-23 18:35:04,Zone_A,Sprinkler,31.94,16.41,7.87,1.75,139.87,59.58,311.5,6.97,71.97,2.08,974.95,11.34,True,14.03,15.1
2025-07-22 18:35:04,Zone_C,Sprinkler,19.68,26.68,6.92,3.05,102.78,19.95,238.41,27.81,54.02,3.08,376.68,8.06,True,20.16,19.8
2025-05-21 22:35:04,Zone_D,Center_Pivot,16.93,20.91,6.86,3.55,165.63,70.92,140.93,15.44,48.47,6.17,605.82,9.45,True,21.53,20.44
2025-04-18 04:35:04,Zone_D,Sprinkler,43.83,25.8,8.3,3.57,284.34,27.1,158.58,31.65,63.28,0.17,713.14,16.55,True,8.08,9.64
2025-04-01 23:35:04,Zone_D,Sprinkler,67.93,30.93,8.19,1.59,206.33,69.43,221.8,36.79,80.65,2.28,474.65,12.16,False,0.0,0.0
2025-05-21 19:35:04,Zone_C,Sprinkler,27.45,11.87,7.15,0.71,296.54,57.93,272.67,40.99,45.0,9.67,883.69,24.39,True,16.28,15.87
2025-05-26 10:35:04,Zone_A,Center_Pivot,16.67,39.67,7.3,3.64,371.38,65.99,242.68,26.08,37.79,2.5,397.11,8.18,True,21.67,20.33
2025-06-23 14:35:04,Zone_B,Drip,60.92,28.42,6.24,1.09,193.28,15.19,97.85,-12.66,79.11,2.88,978.73,2.36,False,0.0,0.0
2025-03-15 00:35:04,Zone_C,Center_Pivot,10.31,23.82,7.37,3.44,269.38,13.14,321.6,31.27,82.39,3.67,213.36,4.91,True,24.85,28.04
2025-11-16 02:35:04,Zone_D,Sprinkler,47.08,19.41,7.3,1.43,194.23,31.65,284.79,21.76,46.48,9.23,762.34,14.15,False,0.0,0.0
2025-07-09 11:35:04,Zone_C,Drip,30.84,17.04,6.72,0.77,249.06,83.47,236.9,35.23,63.1,11.41,497.18,12.38,True,14.58,17.47
2026-01-02 06:35:04,Zone_D,Sprinkler,42.25,18.59,7.6,1.62,94.71,23.33,202.49,26.34,65.37,6.07,501.5,10.39,True,8.87,10.17
2026-01-08 02:35:04,Zone_C,Center_Pivot,14.8,19.53,5.81,3.15,177.02,64.38,279.47,20.7,62.83,3.81,505.3,9.13,True,22.6,24.37
2025-03-01 21:35:04,Zone_D,Center_Pivot,47.07,35.5,8.38,3.33,206.48,64.69,167.41,11.18,61.21,6.61,854.12,11.62,False,0.0,0.0
2025-11-19 17:35:04,Zone_D,Drip,14.29,24.27,7.61,2.81,137.34,68.9,188.57,13.14,44.69,10.8,577.01,8.38,True,22.86,26.17
2025-04-05 22:35:04,Zone_C,Sprinkler,39.26,31.03,6.49,3.5,173.03,28.18,272.04,29.74,50.09,15.33,824.02,18.39,True,10.37,9.25
2025-08-15 03:35:04,Zone_B,Drip,79.06,28.9,5.72,0.65,153.46,11.11,133.29,4.7,61.34,5.87,326.18,3.44,False,0.0,0.0
2026-02-16 01:35:04,Zone_D,Drip,38.52,9.62,6.67,2.21,119.48,51.81,128.14,14.49,33.82,1.2,940.65,14.26,True,10.74,10.77
2025-06-17 11:35:04,Zone_A,Sprinkler,78.78,16.11,7.42,1.74,176.42,85.95,58.76,15.27,69.97,10.61,256.83,3.99,False,0.0,0.0
2025-10-26 06:35:04,Zone_D,Center_Pivot,38.24,23.24,6.57,2.69,163.65,66.37,93.51,38.69,43.52,0.07,266.04,7.05,True,10.88,9.27
2025-09-13 23:35:04,Zone_D,Center_Pivot,51.87,22.82,6.04,2.4,226.56,11.75,339.3,14.19,42.08,11.26,444.77,6.68,False,0.0,0.0
2025-08-15 07:35:04,Zone_A,Drip,21.09,22.21,6.59,3.71,120.5,75.13,105.74,15.21,82.3,3.57,848.08,13.14,True,19.46,18.97
2025-06-05 02:35:04,Zone_D,Drip,22.27,8.14,6.05,3.66,243.0,82.03,282.79,28.0,30.06,10.85,796.03,17.11,True,18.87,17.12
2025-07-26 01:35:04,Zone_D,Sprinkler,26.05,26.2,7.17,2.53,132.88,30.26,160.19,22.71,45.73,9.77,259.72,4.94,True,16.97,18.16
2025-10-04 10:35:04,Zone_A,Drip,44.27,29.45,6.52,2.39,224.61,43.59,293.58,29.93,30.62,1.86,848.89,19.02,True,7.86,9.03
2025-10-31 17:35:04,Zone_A,Sprinkler,58.56,30.24,5.75,1.43,82.37,19.93,227.91,19.91,34.33,5.69,413.95,7.33,False,0.0,0.0
2025-09-03 17:35:04,Zone_A,Drip,13.9,16.12,6.6,2.29,225.98,42.37,319.77,9.35,43.2,2.08,598.3,7.63,True,23.05,20.7
2025-12-20 17:35:04,Zone_B,Center_Pivot,20.52,24.5,5.62,0.76,243.19,12.08,131.42,27.28,88.36,2.21,981.46,20.77,True,19.74,16.73
2025-09-09 06:35:04,Zone_B,Drip,36.96,22.43,7.88,2.43,282.85,52.5,274.37,3.56,66.15,10.04,780.3,7.82,True,11.52,10.29
2025-12-27 12:35:04,Zone_A,Drip,46.71,6.28,6.13,1.18,100.34,99.97,248.78,22.59,48.87,1.74,374.92,7.11,False,0.0,0.0
2025-03-09 10:35:04,Zone_C,Center_Pivot,71.07,7.88,7.9,3.13,213.66,71.99,271.44,26.02,32.97,10.42,358.29,7.37,False,0.0,0.0
2026-02-04 19:35:04,Zone_D,Sprinkler,78.68,25.08,7.19,2.65,375.84,61.55,123.32,26.0,57.62,2.15,250.41,5.15,False,0.0,0.0
2025-08-31 16:35:04,Zone_C,Sprinkler,24.99,28.9,6.6,2.92,398.65,62.36,234.24,16.96,63.13,2.52,267.17,4.36,True,17.51,20.85
2025-02-27 09:35:04,Zone_D,Sprinkler,43.46,21.47,5.83,2.73,347.97,69.6,272.85,26.2,66.51,6.86,410.03,8.47,True,8.27,7.91
2025-06-10 19:35:04,Zone_B,Center_Pivot,64.62,22.35,6.1,1.13,53.73,78.99,90.76,10.85,64.13,1.78,264.69,3.56,False,0.0,0.0
2025-08-05 19:35:04,Zone_C,Drip,34.28,18.48,7.57,0.68,114.14,17.22,340.34,9.02,64.43,8.58,340.01,4.28,True,12.86,14.89
2025-05-27 09:35:04,Zone_A,Sprinkler,54.03,35.27,5.88,1.6,238.73,67.64,115.03,9.49,89.51,8.95,621.98,7.97,False,0.0,0.0
2025-12-30 09:35:04,Zone_C,Drip,78.13,27.34,7.76,1.26,191.93,33.65,266.53,25.19,76.0,5.76,591.03,11.93,False,0.0,0.0
2025-05-14 03:35:04,Zone_D,Sprinkler,38.15,24.04,7.77,3.85,221.66,33.93,309.0,15.3,56.43,0.69,569.87,8.85,True,10.93,11.04
2025-06-27 22:35:04,Zone_D,Center_Pivot,26.05,22.03,7.71,3.87,327.2,24.13,175.97,38.2,59.76,6.04,968.41,25.46,True,16.98,15.52
2025-02-27 05:35:04,Zone_B,Sprinkler,70.28,27.27,6.8,0.91,396.02,47.5,208.35,26.69,88.04,4.39,708.56,14.8,False,0.0,0.0
2025-12-31 17:35:04,Zone_D,Center_Pivot,59.7,28.0,5.72,3.77,240.87,58.05,300.66,31.34,48.41,5.33,385.31,8.89,False,0.0,0.0
2025-10-06 02:35:04,Zone_D,Center_Pivot,63.26,11.56,8.23,3.14,54.97,15.8,163.72,22.21,76.81,1.61,991.69,18.62,False,0.0,0.0
2025-12-20 16:35:04,Zone_B,Sprinkler,74.34,22.73,7.27,0.85,263.3,57.58,212.43,29.63,41.49,3.92,165.1,3.68,False,0.0,0.0
2025-06-26 03:35:04,Zone_D,Sprinkler,11.5,26.96,7.31,3.63,186.15,41.49,260.01,19.1,54.42,2.4,519.44,9.0,True,24.25,20.51
2025-04-30 12:35:04,Zone_B,Center_Pivot,24.2,34.72,7.27,1.2,202.45,92.89,308.29,40.15,63.45,11.55,707.51,19.24,True,17.9,17.27
2025-10-03 15:35:04,Zone_C,Center_Pivot,64.35,28.37,6.49,3.28,148.46,92.52,105.45,20.56,73.14,2.63,116.61,2.1,False,0.0,0.0
2025-04-26 21:35:04,Zone_C,Drip,33.23,24.07,6.28,0.75,383.58,86.06,63.6,11.06,46.28,4.98,389.22,5.27,True,13.39,12.22
2025-04-08 17:35:04,Zone_B,Sprinkler,51.71,26.35,5.77,1.64,90.45,36.69,254.84,13.82,75.83,0.78,771.6,11.45,False,0.0,0.0
2025-05-31 05:35:04,Zone_A,Center_Pivot,15.9,22.01,8.41,3.91,217.42,82.45,216.01,9.93,75.1,5.29,727.45,9.47,True,22.05,21.52
2025-11-27 17:35:04,Zone_A,Center_Pivot,68.32,36.3,8.11,2.79,228.42,57.55,262.64,20.28,35.53,5.06,437.44,7.82,False,0.0,0.0
2025-04-30 10:35:04,Zone_B,Sprinkler,19.47,21.96,6.87,2.4,267.89,27.52,237.65,33.77,51.15,6.27,794.68,19.24,True,20.27,16.27
2025-05-05 14:35:04,Zone_C,Center_Pivot,60.14,11.21,6.62,2.51,90.09,72.84,183.55,14.87,39.59,3.56,616.69,9.46,False,0.0,0.0
2025-04-04 05:35:04,Zone_D,Center_Pivot,34.24,24.4,7.48,0.69,225.57,86.57,250.49,31.08,43.97,9.87,432.59,9.93,True,12.88,15.02
2025-10-27 16:35:04,Zone_B,Sprinkler,45.86,26.06,6.37,2.79,53.35,85.17,339.75,37.98,42.42,10.76,251.05,6.57,False,0.0,0.0
